QS World University Rankings by Faculty Area,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Engineering - Electrical & Electronic,,,,,,,,,
,,,,Institutions Considered,,1709,,,
,,,,,,,,,
,,,,,,,,,
,,,,,Weightings,,,,
,,,,Academic,0.4,,,,
,,,,Employer,0.3,,,,
,,,,Citations,0.1,,,,
,,,,H,0.1,,,,
,,,,IRN,0.1,,,,
Top 530 Universities - Engineering - Electrical & Electronic,,,,,,,,,
2024,2023,Institution,Location,Academic,Employer,Citations,H,International,Score
=85,74=,Indian Institute of Technology Kharagpur (IIT-KGP),India,69.6,72,86.6,78.7,61.3,73.2
=85,68  ,Korea University,South Korea,66,75,89.8,80,61.6,73.2
=85,82  ,Sorbonne University,France,68.4,74.1,82.2,72.5,85,73.2
=88,95=,Universidade Estadual de Campinas (Unicamp),Brazil,69.5,75.3,82.1,72.7,66.5,73.1
=88,90=,Université de Montréal ,Canada,66.4,75.4,87.8,74.2,72.6,73.1
=90,76  ,"University of California, Santa Barbara (UCSB)",United States,72.2,65.9,92.5,76.6,62.6,72.9
=90,113  ,University of Science and Technology of China,China (Mainland),67.6,68.2,90.4,89.6,58.3,72.9
92,83=,New York University (NYU),United States,66.9,73.1,96.5,73.8,55.5,72.8
93,83=,Huazhong University of Science and Technology,China (Mainland),66.2,64.7,90.4,93.4,76.4,72.7
=94,95=,King's College London,United Kingdom,69.5,69.1,92.1,74.2,63.2,72.5
=94,67  ,Pohang University of Science And Technology (POSTECH),South Korea,66.3,78.3,90,75.4,36.3,72.5
96,87  ,Indian Institute of Technology Kanpur (IITK),India,70.1,73,84.3,75,49.8,72.3
=97,109  ,Pennsylvania State University,United States,62.7,76.2,88.7,81.1,60.9,72.2
=97,120=,Tecnológico de Monterrey,Mexico,65.4,82.5,82.5,66.9,51.4,72.2
=99,97=,Technische Universität Dresden,Germany,70.2,66.7,82.2,73.1,92.9,72.1
=99,101  ,University of Pennsylvania,United States,69.7,72.8,90.1,70.8,44.6,72.1
=101,106=,National Tsing Hua University,Taiwan,70.2,72.4,81.9,73.8,55.7,72
