QS World University Rankings by Faculty Area,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Psychology,,,,,,,,,
,,,,Institutions Considered,,995,,,
,,,,,,,,,
,,,,,,,,,
,,,,,Weightings,,,,
,,,,Academic,0.4,,,,
,,,,Employer,0.3,,,,
,,,,Citations,0.1,,,,
,,,,H,0.1,,,,
,,,,IRN,0.1,,,,
Top 330 Universities - Psychology,,,,,,,,,
2024,2023,Institution,Location,Academic,Employer,Citations,H,International,Score
151-200,201-250,Australian Catholic University,Australia,54.6,53.4,93.4,89.1,47.2,
151-200,151-200,"Birkbeck, University of London",United Kingdom,56.5,57.5,81.7,79.5,58.1,
151-200,151-200,Boston College,United States,63.5,52.5,81,80.4,37.7,
151-200,201-250,City University of Hong Kong,Hong Kong SAR,64.1,69,75.7,72.8,21.9,
151-200,151-200,"City, University of London",United Kingdom,56.5,59.6,81.4,78,49.2,
151-200,151-200,Deakin University,Australia,57.4,65.4,82,83.9,48.4,
151-200,201-250,Eindhoven University of Technology,Netherlands,57.4,67.7,87.1,78.3,32.6,
151-200,151-200,Emory University,United States,54.2,61.1,82.9,88.2,52.1,
151-200,151-200,Eötvös Loránd University,Hungary,53.3,64.8,81.3,79.5,50.4,
151-200,101-150,Florida State University,United States,58.8,57.2,87.2,90.4,46.6,
151-200,151-200,La Trobe University,Australia,61.2,61.6,80.5,82,33.6,
151-200,101-150,Lomonosov Moscow State University,Russia,67.2,91.6,60,61.9,28,
151-200,151-200,McMaster University,Canada,58.2,63,81.1,80.1,31.5,
151-200,151-200,Newcastle University,United Kingdom,50.1,70.6,86.3,82.5,52.4,
151-200,151-200,Queen's University at Kingston,Canada,59.2,65.3,80.6,78.9,31.5,
151-200,201-250,Queen's University Belfast,United Kingdom,54.1,71.3,79.3,77.1,41.6,
151-200,201-250,Ruhr-Universität Bochum,Germany,57.5,52.3,83.3,83.9,48.2,
151-200,101-150,Seoul National University,South Korea,68.6,75.1,75.9,71.2,11.5,
151-200,201-250,Singapore Management University,Singapore,67.8,66.1,67,70.4,32.9,
151-200,151-200,Texas A&M University,United States,59,64.3,81.2,84.6,41.3,
151-200,151-200,The Hong Kong Polytechnic University,Hong Kong SAR,63.5,67,83.5,80.1,27.4,
