QS World University Rankings by Subject,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Social Policy & Administration,,,,,,,,
Faculty Area,,Social Sciences & Management,,Institutions Considered,,2332,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,Weightings,,,
,,,,Academic,0.7,,,
,,,,Employer,0.2,,,
,,,,Citations,0.1,,,
,,,,H,,,,
Top 130 Universities - Social Policy & Administration,,,,,,,,
2024,2023,Institution,Location,Academic,Employer,Citations,H,Score
51-100,51-100,University of Milan,Italy,76.2,60.7,66.9,,
51-100,101-130,University of Minnesota Twin Cities,United States,72.8,64.9,83.7,,
51-100,51-100,University of Pennsylvania,United States,68.8,77.9,81.5,,
51-100,51-100,University of Zurich,Switzerland,73.8,61.6,84.6,,
51-100,21  ,Ural Federal University - UrFU,Russia,85.7,66.9,41.6,,
101-130,101-130,Arizona State University,United States,69.6,67,81,,
101-130,51-100,Cardiff University,United Kingdom,71.4,60.9,81.8,,
101-130,101-130,Carnegie Mellon University,United States,70.1,65.5,69.6,,
101-130,51-100,Chulalongkorn University,Thailand,70.6,64.9,73.9,,
101-130,,Delft University of Technology,Netherlands,70.1,62.7,76,,
101-130,,"Essex, University of",United Kingdom,77.2,42.7,78.4,,
101-130,51-100,Fundação Getulio Vargas,Brazil,72.3,63.1,74.7,,
101-130,51-100,Gadjah Mada University,Indonesia,72.9,73.3,54.5,,
101-130,51-100,Georgetown University,United States,71.6,69.9,67.3,,
101-130,,London School of Hygiene & Tropical Medicine,United Kingdom,74.6,53,68.5,,
101-130,101-130,Ludwig-Maximilians-Universität München,Germany,70,68.1,72.1,,
101-130,101-130,Lund University,Sweden,74.2,59.3,73.1,,
101-130,101-130,McMaster University,Canada,70.5,64.5,67.2,,
101-130,101-130,Monash University,Australia,66.3,78.1,76.8,,
101-130,51-100,Shanghai Jiao Tong University,China (Mainland),66.9,70.5,78.6,,
101-130,101-130,Tecnológico de Monterrey,Mexico,71.7,81.9,41.2,,
101-130,,Universidad Autónoma de Madrid,Spain,70,71.3,62.2,,
101-130,,Universidad de Guadalajara (UDG),Mexico,73.4,62,59.6,,
101-130,101-130,Universidad de los Andes,Colombia,71.1,80.4,48,,
101-130,,Universidad Diego Portales (UDP),Chile,66.8,75.5,72.6,,
101-130,101-130,Universitat Autònoma de Barcelona,Spain,70.4,66.9,69.6,,
101-130,101-130,Université catholique de Louvain (UCLouvain),Belgium,73,61.8,74.2,,
101-130,51-100,"University of North Carolina, Chapel Hill",United States,71.2,60,84.5,,
101-130,,University of Southampton,United Kingdom,69.1,63.4,81.9,,
101-130,101-130,University of Southern Denmark (SDU),Denmark,74.1,52.1,76.9,,
101-130,51-100,University of Sussex,United Kingdom,74.3,58.1,73,,
101-130,51-100,University of Texas at Austin,United States,67.5,71.9,73.3,,
101-130,51-100,University of Wisconsin-Madison,United States,71.6,59.9,75.8,,
101-130,,Washington University in St. Louis,United States,76.6,50.5,59.5,,
101-130,,Zhejiang University,China (Mainland),67.2,69.7,80.5,,
