QS World University Rankings by Subject,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Nursing,,,,,,,,
Faculty Area,,Life Sciences & Medicine,,Institutions Considered,,735,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,Weightings,,,
,,,,Academic,0.3,,,
,,,,Employer,0.1,,,
,,,,Citations,0.3,,,
,,,,H,0.3,,,
Top 200 Universities - Nursing,,,,,,,,
2024,2023,Institution,Location,Academic,Employer,Citations,H,Score
151-200,101-150,Arizona State University,United States,49.7,67.4,87.6,79.5,
151-200,151-180,Auckland University of Technology (AUT),New Zealand,59.6,59.3,85,77.9,
151-200,,Central Queensland University (CQUniversity Australia),Australia,48.3,65.2,87.7,76.8,
151-200,101-150,Chang Gung University,Taiwan,45.9,68.5,88.7,80,
151-200,101-150,"City, University of London",United Kingdom,64.3,56.2,78.9,73.1,
151-200,151-180,Dalhousie University,Canada,52,38,89.9,80,
151-200,,Georgetown University,United States,56.2,66.1,80.8,74.4,
151-200,,Jordan University of Science & Technology,Jordan,51.7,85.8,85.1,76.2,
151-200,151-180,Kent State University,United States,54.2,52.1,83.2,81.5,
151-200,,King Saud University,Saudi Arabia,54.5,67.6,86.3,77.3,
151-200,,Medical College of Wisconsin,United States,54,71.1,82.4,71.8,
151-200,151-180,National and Kapodistrian University of Athens,Greece,46.7,60.9,88.7,76.8,
151-200,,National Cheng Kung University (NCKU),Taiwan,60.5,77.3,81,73.1,
151-200,101-150,National Yang Ming Chiao Tung University,Taiwan,44,79.8,91.8,80,
151-200,151-180,Norwegian University of Science And Technology,Norway,54.3,42.5,93.8,80,
151-200,101-150,Oxford Brookes University,United Kingdom,53.1,83.9,79,74.4,
151-200,,Royal College of Surgeons in Ireland (RCSI),Ireland,60.7,77.5,76.7,71.1,
151-200,,Ruprecht-Karls-Universität Heidelberg,Germany,61.4,54.4,87.8,75,
151-200,151-180,St. Louis University,United States,50,59.7,87.8,78.4,
151-200,,Swansea University,United Kingdom,55.8,80,81.3,73.1,
151-200,,Temple University,United States,48.4,85.6,83,73.1,
151-200,151-180,The Catholic University of Korea ,South Korea,58.8,62.1,85.4,73.1,
151-200,151-180,"The University of Tennessee, Knoxville",United States,56.2,57.7,84.6,81.1,
151-200,101-150,Umea University,Sweden,51.7,51.6,92.7,78.4,
151-200,101-150,Universidad de Chile,Chile,69,86,79.9,64.9,
151-200,,Universidade Federal de Minas Gerais      ,Brazil,57.7,67.5,83.1,77.3,
151-200,,Universidade Federal de Santa Catarina ,Brazil,69.4,61.5,76.8,75.6,
151-200,151-180,Universidade Federal de São Paulo,Brazil,57.5,56,79.1,80,
151-200,,Universidade Federal do Rio Grande Do Sul ,Brazil,62.4,56.8,79.8,71.8,
151-200,,Università di Padova,Italy,54.8,58.6,92.7,75.6,
151-200,151-180,Universitat Autònoma de Barcelona,Spain,54.9,68.9,85.2,77.9,
151-200,101-150,Universitat de Valencia,Spain,54.8,49.7,90.5,79,
151-200,,"University of California, Irvine",United States,55.8,73.1,84.9,77.3,
151-200,101-150,University of Cincinnati,United States,51,62.1,87.1,82,
151-200,101-150,University of Gothenburg,Sweden,62.6,17.5,88.4,85.2,
151-200,,University of Huddersfield,United Kingdom,52.2,73.6,82.4,76.2,
151-200,151-180,University of Hull,United Kingdom,63,36.6,86,79,
151-200,101-150,University of Illinois at Urbana-Champaign,United States,48.7,59.1,89.8,80,
151-200,,University of Kansas,United States,52.2,60.9,86.5,77.3,
151-200,151-180,University of Kentucky,United States,49,50.2,86.2,81.5,
151-200,101-150,University of Lausanne,Switzerland,51.4,44,92.9,80,
151-200,151-180,University of Massachusetts Amherst,United States,58.6,46.7,83.1,76.2,
151-200,,University of South Carolina,United States,46.7,69.5,87.4,81.1,
151-200,101-150,University of Southern Denmark (SDU),Denmark,57.2,57.6,86,80.5,
151-200,,Verona University,Italy,57.4,56.8,87.8,72.4,
151-200,151-180,Virginia Commonwealth University,United States,54.7,60.2,84.2,76.8,
151-200,,Washington State University,United States,46.7,66.1,85.5,79,
