QS World University Rankings by Subject,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Engineering - Civil & Structural,,,,,,,,
Faculty Area,,Engineering & Technology,,Institutions Considered,,1220,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,Weightings,,,
,,,,Academic,0.4,,,
,,,,Employer,0.3,,,
,,,,Citations,0.15,,,
,,,,H,0.15,,,
Top 240 Universities - Engineering - Civil & Structural,,,,,,,,
2024,2023,Institution,Location,Academic,Employer,Citations,H,Score
101-150,101-150,National Cheng Kung University (NCKU),Taiwan,63,68.7,83.8,66.4,
101-150,101-150,Queen's University at Kingston,Canada,64.5,70.4,80,66.4,
101-150,101-150,Queensland University of Technology (QUT),Australia,63.3,70.3,88.6,76.8,
101-150,101-150,Technische Universität Dresden,Germany,70.9,62.7,81.9,72.1,
101-150,101-150,Technische Universität Wien,Austria,73.1,59.7,78.2,69.9,
101-150,101-150,Tecnológico de Monterrey,Mexico,63.1,86.7,68.8,51.8,
101-150,,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,59,77.7,86.1,62.3,
101-150,51-100,The University of Adelaide,Australia,62.1,69.6,93.1,80,
101-150,101-150,"The University of Newcastle, Australia (UON)",Australia,63.8,70.3,86.6,68.8,
101-150,151-200,"Trinity College Dublin, The University of Dublin",Ireland,62.8,72.1,80,68.2,
101-150,51-100,Universidad de los Andes,Colombia,69.6,79.7,66.7,60.1,
101-150,101-150,Universidade Estadual de Campinas (Unicamp),Brazil,62,76.6,76.6,61.6,
101-150,101-150,Universidade Federal do Rio de Janeiro,Brazil,66.8,72.7,82.8,64.5,
101-150,101-150,Universitat Politècnica de València,Spain,64.9,62.8,82.3,74.1,
101-150,101-150,Universität Stuttgart,Germany,72,64.5,79.3,69.4,
101-150,101-150,Université de Montréal ,Canada,64,71.6,85.3,68.2,
101-150,151-200,Universiti Teknologi PETRONAS (UTP),Malaysia,65.5,65.3,83.1,68.8,
101-150,101-150,University at Buffalo SUNY,United States,67.4,66.1,89.6,74.5,
101-150,101-150,University College Dublin,Ireland,62.6,72.3,86.9,72.1,
101-150,101-150,University of Alberta,Canada,67.7,69.2,82.5,75,
101-150,101-150,University of Bath,United Kingdom,63,63.5,90.3,75.9,
101-150,151-200,University of Calgary,Canada,62.2,74.8,79.2,65.1,
101-150,101-150,University of Florida,United States,67.2,62.6,84.5,74.1,
101-150,101-150,University of Liverpool,United Kingdom,60.4,68.1,88.1,74.1,
101-150,101-150,"University of Maryland, College Park",United States,61.4,67.6,85.7,74.1,
101-150,51-100,University of Porto,Portugal,72.4,54.2,85.4,83,
101-150,101-150,University of Southern California,United States,63.1,67.6,87.3,69.4,
101-150,51-100,University of Washington,United States,70.9,63.4,87.8,75.5,
101-150,101-150,University of Wisconsin-Madison,United States,66.6,67.8,87.7,73.1,
101-150,101-150,University of Wollongong,Australia,59.9,67.7,88.4,78.1,
101-150,101-150,Virginia Polytechnic Institute and State University,United States,72.8,55.4,84.1,79.7,
101-150,101-150,Western University,Canada,59.2,70.5,87.6,75.5,
101-150,101-150,Wuhan University,China (Mainland),62.8,64.5,86.7,84.3,
101-150,,Yale University,United States,67.8,86.3,68.7,49.6,
151-200,151-200,Aalborg University,Denmark,59.3,52.8,91.6,76.3,
151-200,151-200,Aalto University,Finland,63.4,57.2,85.5,72.1,
151-200,151-200,Ain Shams University ,Egypt,58.7,74.6,76.9,60.8,
151-200,151-200,American University of Beirut (AUB),Lebanon,56.8,81.4,65.3,49.6,
151-200,151-200,American University of Sharjah,United Arab Emirates,52.5,80.3,74.1,58.4,
151-200,151-200,Aristotle University of Thessaloniki,Greece,60.1,59.7,85.4,75.9,
151-200,101-150,Arizona State University,United States,59.3,61.9,86.4,74.5,
151-200,201-230,Budapest University of Technology and Economics,Hungary,60.2,61.7,78,65.8,
151-200,151-200,Chongqing University,China (Mainland),58.7,53.3,85,93,
