QS World University Rankings by Faculty Area,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Geology,,,,,,,,,
,,,,Institutions Considered,,1078,,,
,,,,,,,,,
,,,,,,,,,
,,,,,Weightings,,,,
,,,,Academic,0.4,,,,
,,,,Employer,0.3,,,,
,,,,Citations,0.1,,,,
,,,,H,0.1,,,,
,,,,IRN,0.1,,,,
Top 240 Universities - Geology,,,,,,,,,
2024,2023,Institution,Location,Academic,Employer,Citations,H,International,Score
151-200,101-150,Brown University,United States,69.6,61.7,88.9,75.9,40.3,
151-200,201-230,China University of Mining and Technology,China (Mainland),66.8,50.1,84.3,87.9,39.8,
151-200,151-200,Complutense University of Madrid,Spain,64.5,64.7,82.6,77.7,59.4,
151-200,101-150,Dalhousie University,Canada,70.5,59.8,88.6,78.9,44,
151-200,151-200,Florida State University,United States,65.7,51.5,88.7,78.9,54.3,
151-200,,Fudan University,China (Mainland),58.9,83.1,90,80.7,39.9,
151-200,151-200,Indian Institute of Technology Bombay (IITB),India,68.5,78,84.9,76.5,45.2,
151-200,101-150,James Cook University,Australia,74.9,61.1,82.8,70.6,55.6,
151-200,151-200,Kyushu University,Japan,71.3,63.9,80.9,75.1,54.9,
151-200,151-200,Lancaster University,United Kingdom,65.6,60.4,92,80.5,51.2,
151-200,101-150,Lomonosov Moscow State University,Russia,67.1,89.1,70,79.6,65.6,
151-200,,Nanjing University of Information Science and Technology,China (Mainland),55.1,33.7,92.1,92.8,59.1,
151-200,101-150,Sapienza University of Rome,Italy,68.2,82.6,78.7,77.2,62.6,
151-200,201-230,Shanghai Jiao Tong University,China (Mainland),66.3,79,78.6,76.5,52.6,
151-200,151-200,Technische Universität Berlin (TU Berlin),Germany,67.5,70.5,86.4,77.7,51.7,
151-200,151-200,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,61.3,76.1,92.6,81.7,34.2,
151-200,201-230,The Hong Kong Polytechnic University,Hong Kong SAR,65.1,68.4,90.3,83.1,38.4,
151-200,201-230,Tongji University,China (Mainland),71.5,44.8,80.3,83.9,46,
151-200,151-200,"Trinity College Dublin, The University of Dublin",Ireland,71.5,79.3,86,73.7,47.1,
151-200,151-200,Universidad de Buenos Aires (UBA),Argentina,73.1,75,80.4,75.7,45.7,
151-200,151-200,Universidad de Concepción,Chile,66.3,62.1,87.5,79.1,63.7,
151-200,101-150,Universitat Autònoma de Barcelona,Spain,60.9,68.1,87.4,78.7,62.4,
151-200,151-200,Université Claude Bernard Lyon 1,France,60.6,61.1,90.2,82.7,62.2,
151-200,,Université Côte d\'Azur,France,62.8,35.2,90.8,83.3,70.6,
151-200,201-230,Université de Liège,Belgium,62.8,51.2,87.2,80.5,65.4,
151-200,151-200,Université de Strasbourg,France,60.8,67.8,89.3,80.5,63.4,
151-200,151-200,University College Dublin,Ireland,62.5,70.7,90.2,75.9,52.3,
151-200,151-200,University of Bordeaux,France,62.7,56.7,89.3,79.1,58.4,
151-200,151-200,"University of California, Riverside",United States,63.1,58.3,93.8,82.7,49.4,
151-200,151-200,University of Canterbury | Te Whare Wānanga o Waitaha,New Zealand,72.4,80.2,82.9,71.9,50.7,
151-200,151-200,University of Florence,Italy,59.5,62.6,88.3,82.9,66.1,
151-200,201-230,University of Glasgow,United Kingdom,68.7,71.4,85.4,74.9,55.1,
