QS World University Rankings by Subject,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
"Theology, Divinity & Religious Studies",,,,,,,,
Faculty Area,,Arts & Humanities,,Institutions Considered,,536,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,Weightings,,,
,,,,Academic,0.7,,,
,,,,Employer,0.1,,,
,,,,Citations,0.1,,,
,,,,H,0.1,,,
"Top 140 Universities - Theology, Divinity & Religious Studies",,,,,,,,
2024,2023,Institution,Location,Academic,Employer,Citations,H,Score
101-140,45  ,Seoul National University,South Korea,58.7,63.4,81.4,64,
101-140,,State Islamic University (UIN) Syarif Hidayatullah Jakarta,Indonesia,52.9,48,89.3,74.7,
101-140,51-100,Stellenbosch University,South Africa,58.3,33.7,88.3,78.9,
101-140,101-140,The University of Auckland,New Zealand,57.2,70.8,74.5,56.7,
101-140,51-100,The University of Hong Kong,Hong Kong SAR,56.9,80.3,75.9,64,
101-140,101-140,The University of Queensland,Australia,48.9,76.3,83.3,67.1,
101-140,101-140,The University of Warwick,United Kingdom,48.5,54.2,100,88.7,
101-140,101-140,UCL,United Kingdom,54.4,62.9,89.3,76.9,
101-140,101-140,Universidad de los Andes - Chile,Chile,55.9,78.1,59.5,52.2,
101-140,,Universitas Indonesia,Indonesia,58.1,76.7,52.4,40.4,
101-140,51-100,Universität Leipzig,Germany,57.7,63.7,80.5,67.1,
101-140,101-140,Universiti Kebangsaan Malaysia (UKM),Malaysia,55.3,58.2,71.8,60.6,
101-140,,Universiti Sains Malaysia (USM),Malaysia,58.5,45.1,70.5,46.9,
101-140,101-140,University of Alberta,Canada,53.4,66,76.7,60.6,
101-140,101-140,University of Colorado Boulder,United States,49.6,82.8,77.3,64,
101-140,51-100,University of Glasgow,United Kingdom,53.5,61.4,87.5,69.8,
101-140,51-100,University of Lausanne,Switzerland,57.4,37.4,88.1,76.9,
101-140,101-140,University of Leeds,United Kingdom,54.5,48.4,84.6,67.1,
101-140,51-100,"University of North Carolina, Chapel Hill",United States,56,43,95.2,87.2,
101-140,,University of Nottingham,United Kingdom,51.3,59.4,88.6,72.4,
101-140,101-140,University of Pennsylvania,United States,49.2,75.7,91.8,76.9,
