QS World University Rankings by Subject,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Politics & International Studies,,,,,,,,
Faculty Area,,Social Sciences & Management,,Institutions Considered,,1031,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,Weightings,,,
,,,,Academic,0.5,,,
,,,,Employer,0.3,,,
,,,,Citations,0.1,,,
,,,,H,0.1,,,
Top 250 Universities - Politics & International Studies,,,,,,,,
2024,2023,Institution,Location,Academic,Employer,Citations,H,Score
101-150,101-150,City University of Hong Kong,Hong Kong SAR,57.2,68.4,85.7,73.3,
101-150,101-150,Complutense University of Madrid,Spain,58.5,75.5,63.3,51.3,
101-150,101-150,Fundação Getulio Vargas,Brazil,58.3,66.7,86.5,76.8,
101-150,151-200,Ghent University,Belgium,57.2,63.2,85.2,80.7,
101-150,101-150,Indiana University Bloomington,United States,59.6,52.7,91,81.4,
101-150,101-150,Instituto Tecnológico Autónomo de México (ITAM),Mexico,62.3,73.5,50.1,51.3,
101-150,101-150,Keio University,Japan,65.7,70.4,65.4,57,
101-150,51-100,Korea University,South Korea,62.4,71.2,76.6,63.1,
101-150,101-150,Maastricht University ,Netherlands,57.8,66,85.1,76.8,
101-150,101-150,National Chengchi University,Taiwan,67.7,61.8,61.4,53.3,
101-150,101-150,Newcastle University,United Kingdom,51,66.3,89.8,79.2,
101-150,151-200,Pontificia Universidad Católica del Perú,Peru,62.7,71.5,55,49.1,
101-150,51-100,Renmin (People's) University of China,China (Mainland),57.8,68.9,87.3,74.2,
101-150,101-150,Ruprecht-Karls-Universität Heidelberg,Germany,63.3,59.5,91.5,74.2,
101-150,51-100,Saint Petersburg State University,Russia,59.2,72.3,62.3,60.2,
101-150,101-150,Sapienza University of Rome,Italy,61.9,78.1,64.4,55.2,
101-150,101-150,Stockholm University,Sweden,57,57,93.9,84.7,
101-150,101-150,Syracuse University,United States,64.8,45.9,91.9,79.2,
101-150,101-150,Texas A&M University,United States,54,66.2,91.7,82.1,
101-150,101-150,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,54.3,74.8,83.5,68.1,
101-150,51-100,The Ohio State University,United States,57.9,61.9,94.8,85.3,
101-150,101-150,The University of Auckland,New Zealand,54.8,73.2,75.5,63.1,
101-150,101-150,The University of New South Wales (UNSW Sydney),Australia,52.1,78.4,81.9,75.1,
101-150,101-150,Universidad del Rosario,Colombia,58,69.6,71.7,64.4,
101-150,101-150,Universidad Nacional de Colombia,Colombia,58.7,76.9,68.8,51.3,
101-150,101-150,Universidad Torcuato Di Tella,Argentina,64.7,67.5,52.7,49.1,
101-150,101-150,Universitas Indonesia,Indonesia,62.3,74.8,61.7,49.1,
101-150,101-150,Universitat Autònoma de Barcelona,Spain,52.6,66.3,95,81.4,
101-150,101-150,Universität Konstanz,Germany,69.1,39.2,93.5,82.1,
101-150,101-150,Université catholique de Louvain (UCLouvain),Belgium,61.6,69,81.3,68.1,
101-150,101-150,Université de Montréal ,Canada,58.4,64.6,88,84,
101-150,151-200,Université PSL,France,55.6,77.9,68.4,58.6,
101-150,51-100,University of Birmingham,United Kingdom,56,69.9,89.8,85.3,
101-150,101-150,University of Bristol,United Kingdom,55,72.1,89.7,82.7,
