Top 500 Universities - Arts & Humanities,,,,,,,,,
2024,2023,Institution,Location,Academic,Employer,Citations,H,International,Score
112,104  ,University College Dublin,Ireland,81.4,67.5,73.2,73.3,23.9,74.5
113,88=,Universidad Nacional de Colombia,Colombia,82.5,71.8,63.3,61.7,24,74.4
114,85=,Aarhus University,Denmark,80.8,53.6,78.6,81,60.8,74.2
=115,129=,Arizona State University,United States,74.8,70.6,78.3,84.4,57.1,74.1
=115,69=,SOAS University of London ,United Kingdom,86.7,51.8,74.6,71.2,15.8,74.1
=117,83  ,The New School,United States,86.8,52.5,70.1,63.3,27.4,74
=117,148=,Université de Montréal ,Canada,73.2,69.3,90,94.5,48.2,74
=119,116=,Pontificia Universidad Católica del Perú,Peru,84.2,69.9,55.9,53.8,23.6,73.9
=119,102=,Stockholm University,Sweden,78.9,57.8,74.6,78.7,70.1,73.9
=121,133=,King Abdulaziz University (KAU),Saudi Arabia,78.2,72.5,75.3,74.3,22.9,73.8
=121,182  ,Nanjing University,China (Mainland),80.7,63.9,75.7,74.3,27.7,73.8
=121,133=,University of Groningen,Netherlands,76.9,60.3,81.2,83.8,64.7,73.8
=124,138=,Lund University,Sweden,77.2,64.5,79.3,81,50,73.7
=124,120=,Universidade Federal do Rio de Janeiro,Brazil,79.2,72.4,61.6,63.3,46.5,73.7
=126,140=,Michigan State University,United States,73.5,71,83.8,86.8,50.3,73.6
=126,133=,University of Massachusetts Amherst,United States,76,65.6,83,83.8,48.2,73.6
=126,133=,University of the Arts London,United Kingdom,84.2,63,61.1,60,27.4,73.6
129,123=,Universidade Estadual de Campinas (Unicamp),Brazil,79.2,76.6,58.4,56.1,41.2,73.5
130,153=,University of Zurich,Switzerland,79.1,54.6,79.4,85.1,53.1,73.4
131,167=,Beijing Normal University ,China (Mainland),83.6,52.5,77.9,75.3,23.9,73.3
=132,,Aalto University,Finland,79.4,53.7,88.7,77.9,47.4,73.2
=132,125=,Goethe-University Frankfurt am Main,Germany,79.5,56,72.2,73.3,68.3,73.2
=132,116=,University of Notre Dame,United States,79.2,63.1,75.7,77.9,30.1,73.2
135,112=,Victoria University of Wellington,New Zealand,80.6,55.3,74.4,77.1,46.1,73.1
136,115  ,Albert-Ludwigs-Universitaet Freiburg,Germany,81.2,46.2,85.2,73.3,63.3,73
=137,171=,University of Alberta,Canada,72,74.6,74.9,79.5,64.5,72.9
=137,129=,University of Geneva,Switzerland,78,59.4,76.2,77.9,52.6,72.9
=139,156=,Ghent University,Belgium,76,58.8,77,86.8,63.6,72.8
=139,120=,The University of Arizona,United States,74.8,61,80.3,83.8,67.6,72.8
=139,161=,Università di Padova,Italy,76.2,64.3,70.7,77.1,62.3,72.8
=142,107  ,"Goldsmiths, University of London",United Kingdom,82.9,49.7,77.9,74.3,33,72.7
=142,140=,University of Liverpool,United Kingdom,74.5,64.9,77.4,78.7,67,72.7
144,208=,Shanghai Jiao Tong University,China (Mainland),73.5,71.8,86,84.4,26.5,72.6
=145,153=,HSE University,Russia,70.8,82.2,60.8,74.3,68.9,72.5
=145,185=,Renmin (People's) University of China,China (Mainland),80.1,58.8,76.2,74.3,28.2,72.5
=145,132  ,"University of North Carolina, Chapel Hill",United States,77.6,55.4,79.7,85.7,48.9,72.5
=148,143=,Cardiff University,United Kingdom,75.6,63.8,80.4,79.5,46.5,72.4
=148,143=,Universidad Autónoma de Madrid,Spain,79.2,63.4,64.4,70,41.4,72.4
=148,148=,University of Pittsburgh,United States,76.6,57.6,79.4,82.5,54.8,72.4
=151,176=,City University of Hong Kong,Hong Kong SAR,78.7,60.1,81.9,77.9,21.8,72.3
=151,150  ,L.N. Gumilyov Eurasian National University (ENU),Kazakhstan,84.8,66.2,53,53.8,4.1,72.3
153,161=,University of Warsaw ,Poland,79.9,58.1,59,72.3,56.8,72.2
=154,174  ,"University of California, Irvine",United States,72.7,63.8,86.2,85.7,55.7,72.1
=154,165=,"University of California, Santa Barbara (UCSB)",United States,74.6,64.9,80.5,85.1,38.2,72.1
=154,143=,"University of Maryland, College Park",United States,72.4,62.5,83.7,88.5,64,72.1
=157,143=,Charles University,Czech Republic,79.6,52.2,66.1,75.3,64.2,72
=157,156=,University of Cologne,Germany,79.7,48.7,70.6,77.1,66.4,72
=157,183=,York University,Canada,76.2,63.4,78.4,83.1,30.6,72
160,140=,Ca' Foscari University of Venice ,Italy,82.3,58.8,63.1,63.3,26,71.9
161,256=,KAIST - Korea Advanced Institute of Science & Technology,South Korea,71.9,77.1,82.4,76.2,27.4,71.8
162,143=,Macquarie University,Australia,75.2,57,77,83.1,63.8,71.7
163,151=,Uppsala University,Sweden,77.3,54.3,73.5,75.3,64.2,71.6
=164,129=,Rutgers University–New Brunswick,United States,76.9,54.7,82.4,81,41.4,71.4
=164,133=,Universität Hamburg,Germany,77.9,55.3,73.5,76.2,47.1,71.4
=164,171=,University of Southampton,United Kingdom,70.6,67.4,81.7,83.8,63.7,71.4
167,173  ,Oxford Brookes University,United Kingdom,73,76.4,74,67.6,31.4,71.3
168,125=,University of Virginia,United States,77.5,59.7,75.5,77.1,25.5,71.2
=169,215=,Hanyang University,South Korea,78.4,69,63.4,64.8,12.7,71.1
=169,195=,RUDN University,Russia,71.4,87,59.2,61.7,36.3,71.1
=171,190=,Chulalongkorn University,Thailand,77.1,64.2,67.1,61.7,45,71
=171,169=,Pontificia Universidad Javeriana,Colombia,81,67.2,53.6,51.4,22.6,71
=171,262=,Sungkyunkwan University(SKKU),South Korea,79.1,66.7,64.8,63.3,12.7,71
=171,175  ,Université catholique de Louvain (UCLouvain),Belgium,78.1,55.1,70.2,75.3,44.3,71
=171,156=,University of Granada,Spain,77.7,51.7,65.5,76.2,68,71
=171,197=,University of Technology Sydney,Australia,72.7,64,79.6,78.7,53.3,71
177,167=,Tongji University,China (Mainland),79.6,49.8,76.7,77.1,33.3,70.9
=178,160  ,The University of Western Australia,Australia,73.3,60.9,79.9,81.8,50.7,70.8
=178,169=,University of Salamanca,Spain,79.4,53,66.4,71.2,45.3,70.8
=180,208=,University of Minnesota Twin Cities,United States,71.3,63.7,80.6,84.4,56.2,70.7
=180,231=,Wuhan University,China (Mainland),75.4,60.4,79.6,78.7,31,70.7
182,187=,University of Navarra,Spain,73.7,69.4,67.7,70,43.7,70.6
=183,165=,Al-Farabi Kazakh National University,Kazakhstan,82.8,60.4,51.4,53.8,14.5,70.4
=183,192=,Keio University,Japan,76.6,73.1,59.5,58.1,19.5,70.4
=183,251=,Loughborough University,United Kingdom,71.1,66.3,77,75.3,60.2,70.4
=183,195=,Queen's University at Kingston,Canada,72.8,72.5,76.9,74.3,18.1,70.4
=183,207  ,"University of California, Davis",United States,69,71.7,78.1,83.8,50.8,70.4
=188,256=,Ewha Womans University,South Korea,82,57.3,64.1,63.3,0,70.2
=188,197=,Queen's University Belfast,United Kingdom,72.4,61.5,80,75.3,56.2,70.2
=188,236=,Tecnológico de Monterrey,Mexico,74.3,85.8,54.7,58.1,,70.2
=188,156=,University of Göttingen,Germany,78.6,48.1,72.6,74.3,48.6,70.2
=188,223  ,University of Pisa,Italy,74.8,63.8,67.4,72.3,41.5,70.2
=193,271=,Imperial College London,United Kingdom,64.6,84,86.1,80.3,41,70.1
=193,153=,University of Milan,Italy,77.7,59.4,63,71.2,30.1,70.1
=195,243=,Osaka University,Japan,74.5,71.7,68.1,66.2,18.7,70
=195,120=,Radboud University ,Netherlands,76,46.7,76.9,82.5,62.7,70
197,178=,Universitat Pompeu Fabra (Barcelona),Spain,73.4,59.2,74.4,78.7,48.9,69.8
=198,178=,Jagiellonian University,Poland,78.6,54.2,59.9,70,39.7,69.7
=198,161=,Saint Petersburg State University,Russia,73,75.2,50.3,58.1,54.2,69.7
=200,320=,Kyung Hee University,South Korea,77.3,61.8,66.4,66.2,17.4,69.6
=200,185=,Università Cattolica del Sacro Cuore,Italy,76.8,63.6,64.2,66.2,19.5,69.6
202,236=,University of Galway,Ireland,72.8,65.6,75.3,71.2,34.9,69.5
=203,236=,Concordia University,Canada,73.6,59.4,74.8,74.3,43.7,69.4
=203,227=,National Taiwan Normal University,Taiwan,77,55.2,77.2,76.2,12.7,69.4
=203,178=,Universidad de Santiago de Chile (USACH),Chile,77.2,68.4,57.3,51.4,24,69.4
=203,247=,Western University,Canada,68.5,70.7,77.8,82.5,41.9,69.4
=207,243=,Purdue University,United States,66.4,79,80,77.9,36.1,69.3
=207,192=,Universidad de Sevilla,Spain,77.2,53.9,61.6,68.8,47.4,69.3
=207,236=,University of Ottawa,Canada,69.6,65.5,77.7,80.3,51.3,69.3
=210,201=,Boston College,United States,74.4,58.6,76.1,76.2,29.2,69.2
=210,204=,University of Calgary,Canada,69,73.8,76.7,75.3,32.7,69.2
=210,271=,University of Delhi,India,77.1,67.9,56.6,56.1,18.7,69.2
=210,125=,University of Hawaiʻi at Mānoa,United States,74.2,57.5,74.3,76.2,37.9,69.2
=214,373=,Politecnico di Torino,Italy,69.5,75.4,71.9,68.8,36.3,69.1
=214,178=,Royal Holloway University of London,United Kingdom,75.5,48.6,76.1,77.9,50.4,69.1
=214,176=,The University of Adelaide,Australia,70.5,63.6,79.5,77.9,45.3,69.1
=214,192=,University of Cape Town,South Africa,72.9,59.8,73.9,73.3,47,69.1
=218,283=,HUFS - Hankuk (Korea) University of Foreign Studies ,South Korea,79.3,58.3,60.2,60,14.5,69
=218,340  ,Universiti Sains Malaysia (USM),Malaysia,73.4,63.3,71.2,72.3,30.9,69
220,224=,Universitas Indonesia,Indonesia,75.5,70,57.9,56.1,18.7,68.8
=221,151=,Central European University,Austria,77.6,50,75.4,63.3,34.3,68.7
=221,262=,Eötvös Loránd University,Hungary,74.5,59.3,64.8,71.2,39.5,68.7
=223,236=,University of Illinois at Chicago (UIC),United States,70.7,64.2,79.9,80.3,26.6,68.6
=223,200  ,University of Sussex,United Kingdom,73.1,50.3,81.8,83.8,44.9,68.6
225,297=,Universiti Kebangsaan Malaysia (UKM),Malaysia,74.2,62.4,64.2,66.2,33.8,68.5
=226,213=,American University of Beirut (AUB),Lebanon,69,76.8,68.4,71.2,22.6,68.4
=226,211  ,Queensland University of Technology (QUT),Australia,70.7,59.7,81,80.3,38.2,68.4
=228,224=,Simon Fraser University,Canada,71.1,57.6,79.9,79.5,43.9,68.3
=228,359=,Taylor's University,Malaysia,73.5,68.7,59.7,60,30.1,68.3
=228,189  ,University of Otago,New Zealand,73.8,54.6,78.5,74.3,33.3,68.3
=231,315  ,National Cheng Kung University (NCKU),Taiwan,73.1,65.9,67.4,64.8,25.5,68.2
=231,247=,Scuola Normale Superiore di Pisa,Italy,77.4,61.7,57.2,56.1,18.7,68.2
=233,310=,Erasmus University Rotterdam ,Netherlands,66.1,63.6,85,84.4,61,68.1
=233,204=,University of Bergen,Norway,74.6,47.1,76.7,77.1,47,68.1
=235,203  ,Aix-Marseille University,France,73.9,43.2,76,76.2,72.8,68
=235,190=,"Birkbeck, University of London",United Kingdom,76,43,81.4,81.8,31.2,68
=235,274=,Sun Yat-sen University,China (Mainland),73.6,54.7,76.7,77.9,25.2,68
=235,218=,University of Lisbon ,Portugal,73.8,51,68.1,76.2,54.2,68
=235,224=,University of Turin,Italy,74.2,54.4,64.9,72.3,45.3,68
=240,297=,Aristotle University of Thessaloniki,Greece,73,59.1,69.1,68.8,38.2,67.9
=240,183=,George Washington University,United States,71.4,57.7,81.3,78.7,30.9,67.9
=240,364=,Middle East Technical University,Turkey,67.5,77.6,73.8,70,22.8,67.9
=240,218=,The Hebrew University of Jerusalem,Israel,73.3,49.2,71.2,79.5,55.1,67.9
=244,281=,Boğaziçi University,Turkey,68.4,74.2,67.9,67.6,33.2,67.7
=244,302=,Georgia Institute of Technology,United States,64.1,79.8,85.8,80.3,17.4,67.7
=244,256=,Jawaharlal Nehru University,India,77.4,58.6,61.2,48.6,25.5,67.7
=244,401-450,National Tsing Hua University,Taiwan,72.7,67.7,61.1,61.7,27.4,67.7
=244,236=,Rheinische Friedrich-Wilhelms-Universität Bonn,Germany,75.9,48.5,66.1,67.6,49.6,67.7
=244,215=,University of Bern,Switzerland,71.6,54.1,79.9,74.3,47.1,67.7
=244,262=,University of Florence,Italy,76,52.5,64.1,70,30.9,67.7
=251,243=,Cairo University,Egypt,70.5,71.4,67.2,66.2,20,67.6
=251,227=,Deakin University,Australia,70.6,58.7,78.6,81.8,30.2,67.6
=251,218=,National and Kapodistrian University of Athens,Greece,71.9,59,65.5,66.2,56.6,67.6
=251,251=,Rice University,United States,71.6,60.5,77.4,71.2,27.4,67.6
=251,390=,Ritsumeikan University,Japan,72.3,65.9,84.8,56.1,9.9,67.6
=251,451-500,Sogang University,South Korea,78.2,61.4,56.1,56.1,,67.6
=251,231=,Universidad Nacional de La Plata (UNLP),Argentina,76.4,61,57,53.8,25.5,67.6
=258,316=,"The University of Newcastle, Australia (UON)",Australia,67.9,68.1,78.6,77.1,29.2,67.5
=258,283=,Universite libre de Bruxelles,Belgium,72.4,61.9,68.9,70,25.1,67.5
