QS World University Rankings by Faculty Area,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Pharmacy & Pharmacology,,,,,,,,,
,,,,Institutions Considered,,1040,,,
,,,,,,,,,
,,,,,,,,,
,,,,,Weightings,,,,
,,,,Academic,0.4,,,,
,,,,Employer,0.3,,,,
,,,,Citations,0.1,,,,
,,,,H,0.1,,,,
,,,,IRN,0.1,,,,
Top 360 Universities - Pharmacy & Pharmacology,,,,,,,,,
2024,2023,Institution,Location,Academic,Employer,Citations,H,International,Score
101-150,151-200,University of Leeds,United Kingdom,59.7,73.3,86.2,83.2,48.8,
101-150,101-150,University of Lisbon ,Portugal,59.8,58,88.1,88.4,72.7,
101-150,101-150,University of Oslo,Norway,61.2,60.8,88.3,84.7,58.9,
101-150,101-150,University of Otago,New Zealand,69,65.5,85.5,83.4,44.6,
101-150,101-150,University of Pisa,Italy,58.6,67.5,87,85.3,59.9,
101-150,97  ,University of Pittsburgh,United States,62.3,66.2,89,90.4,62.6,
101-150,101-150,University of Technology Sydney,Australia,59.6,64.9,88.1,85.3,53.9,
101-150,101-150,University of Utah,United States,66.2,52,87.7,86.1,48.9,
101-150,101-150,University of Zurich,Switzerland,60.2,67.2,85.6,84.5,57.5,
101-150,83=,Vrije Universiteit Amsterdam,Netherlands,65.4,61.2,92,87.7,55.7,
101-150,201-250,Western University,Canada,62.3,70.3,89.4,86.1,41.5,
101-150,98  ,Yonsei University,South Korea,65.4,76.4,84.7,82.9,40.6,
151-200,151-200,Ain Shams University ,Egypt,59.5,65.3,89.2,86.3,38.9,
151-200,201-250,Amity University,India,59.2,67,82.7,80.5,52.3,
151-200,201-250,Aristotle University of Thessaloniki,Greece,52.6,63.1,90.6,88.4,61.5,
151-200,151-200,Baylor College of Medicine,United States,56.2,62.2,90.4,85.7,39.1,
151-200,151-200,Charles University,Czech Republic,60.1,49.5,83.3,83.4,63.7,
151-200,101-150,Curtin University,Australia,55.4,63.3,85.1,84.7,54.2,
151-200,151-200,Griffith University,Australia,60.4,55.7,84.6,83.2,58.8,
151-200,201-250,Hanyang University,South Korea,58.7,69.6,87.9,84.7,28,
151-200,201-250,Hokkaido University,Japan,64,61.4,82.2,80.7,41.6,
151-200,201-250,Icahn School of Medicine at Mount Sinai,United States,56.6,43.7,91.6,87.3,57.6,
151-200,201-250,International Medical University,Malaysia,60.9,51.1,86.1,86.3,40,
151-200,101-150,Jamia Hamdard,India,69.2,35.3,91.4,86.7,29.3,
151-200,201-250,Kyushu University,Japan,67.5,64.6,76,76,38.1,
151-200,101-150,"Manipal Academy of Higher Education, Manipal, Karnataka, India",India,64.7,68.4,81.8,83.9,34.3,
151-200,151-200,Osaka University,Japan,67.3,69.7,78.1,78.2,28.4,
151-200,,Queen Mary University of London,United Kingdom,60.9,65.2,87.6,85.5,41.6,
151-200,151-200,Queensland University of Technology (QUT),Australia,50.8,67.6,87.7,85.1,68.2,
151-200,201-250,Royal College of Surgeons in Ireland (RCSI),Ireland,64.2,60.2,81.3,82.9,43.3,
151-200,101-150,Sun Yat-sen University,China (Mainland),57.1,56.4,91.9,94.7,40.3,
151-200,94=,Sungkyunkwan University(SKKU),South Korea,59,72.1,86.2,85.3,35.3,
151-200,151-200,Taipei Medical University (TMU),Taiwan,65.6,67.6,86.1,83.2,30.4,
151-200,201-250,Technical University of Denmark,Denmark,55,64.7,87.7,85.3,50.1,
151-200,151-200,The University of Arizona,United States,58.3,61,85.6,85.1,51.6,
151-200,101-150,The University of Western Australia,Australia,60.8,69,83.2,82.9,50.2,
151-200,151-200,Tohoku University,Japan,72.1,67.1,78.7,77.3,22.6,
151-200,151-200,Universidad Autónoma de Madrid,Spain,56,71.6,87.2,82.9,47.8,
151-200,201-250,Universidad de Chile,Chile,66.3,78.8,76.7,76.3,34.2,
151-200,101-150,Universidade de Santiago de Compostela,Spain,60,55.1,91.3,88.5,43.4,
151-200,151-200,Universidade Federal de São Paulo,Brazil,62.4,59.2,83.9,82.7,39,
151-200,101-150,Universidade Federal do Rio de Janeiro,Brazil,65.5,67.2,83.9,81.7,30.6,
151-200,151-200,Universitat Autònoma de Barcelona,Spain,58.4,66.1,86.4,82.5,56.4,
151-200,101-150,Universitat de Valencia,Spain,60.2,52.3,87.5,84.3,58.8,
151-200,151-200,Université de Lille,France,61.7,61.7,84.9,82.5,55.6,
151-200,151-200,Universiti Putra Malaysia (UPM),Malaysia,62.3,63.7,87.7,82.9,38,
151-200,101-150,University College Dublin,Ireland,58.4,74.1,84.6,85.1,34.1,
151-200,151-200,University of Aberdeen,United Kingdom,59.8,59.6,83,82.2,57,
151-200,151-200,University of Bern,Switzerland,56.7,62.4,88.1,84.7,51.8,
151-200,151-200,"University of California, Irvine",United States,57.4,76,89,83.4,37.5,
151-200,201-250,University of Cape Town,South Africa,58.5,58,82.9,80.5,61.3,
151-200,151-200,University of Granada,Spain,61.9,56,87.4,82.9,54.7,
151-200,101-150,University of Iowa,United States,58.7,58,88.3,82.9,41.4,
151-200,101-150,University of Karachi,Pakistan,62.3,60.1,82.5,79.6,55.7,
151-200,201-250,"University of Maryland, Baltimore",United States,64.2,36.6,87.2,86.3,53.7,
151-200,201-250,University of Mississippi,United States,60.3,36.1,90.5,87.3,44.2,
151-200,,University of Ottawa,Canada,51.5,56.2,92.4,88.9,61.3,
151-200,101-150,University of South Australia,Australia,63.3,60.4,86.8,82.5,37.5,
151-200,151-200,University of Southampton,United Kingdom,57.1,69.5,84.3,82.7,47.7,
151-200,151-200,University of Southern California,United States,55.2,61.8,88.4,85.5,49.5,
151-200,151-200,University of Vienna,Austria,61.8,60.9,82.1,79.6,65.9,
