Rank,University,Overall Score,Partnerships with Employers,Graduate Employment Rate,Employer-Student Connections,Employer Reputation,Location
1.0,Massachusetts Institute of Technology (MIT) ,100.0,100,79.3,96,100,"Cambridge, United States"
2.0,Stanford University,99.3,99.4,73.4,96.8,100,"Stanford, United States"
3.0,"University of California, Los Angeles (UCLA)",99.1,96.8,93.2,83.6,99.5,"Los Angeles, United States"
4.0,The University of Sydney,98.1,99.2,91.5,99.6,94.7,"Sydney, Australia"
5.0,Harvard University,97.7,94.5,90,76.6,100,"Cambridge, United States"
6.0,Tsinghua University,96.9,99.7,81,99.6,98.8,"Beijing, China (Mainland)"
7.0,University of Oxford,96.7,96.7,64.5,86.4,100,"Oxford, United Kingdom"
8.0,The University of Melbourne,94.5,91.6,90,76,97.6,"Parkville, Australia"
9.0,Cornell University,94.4,94.9,73.4,88.3,91.4,"Ithaca, United States"
10.0,The University of Hong Kong,94.2,99.4,99.8,93.8,79.5,"Hong Kong, Hong Kong SAR"
11.0,University of Cambridge,94.0,83.1,68.7,90.6,100,"Cambridge, United Kingdom"
12.0,Institut Polytechnique de Paris,93.7,91.7,100,85.2,98.3,"Palaiseau Cedex, France"
13.0,University of Chicago,92.6,99.8,100,45,91.8,"Chicago, United States"
14.0,Yale University,92.2,70.6,86.8,86.8,99.9,"New Haven, United States"
15.0,Princeton University,90.5,67.1,90.5,83.6,97.8,"Princeton, United States"
16.0,New York University (NYU),90.2,89.7,-,79.7,95.1,"New York City, United States"
17.0,National University of Singapore (NUS),90.0,93.1,-,45.3,98.4,"Singapore, Singapore"
18.0,Columbia University,89.9,94.1,-,57.6,97.9,"New York City, United States"
19.0,University of Pennsylvania,89.8,72.3,95.1,71.9,92.8,"Philadelphia, United States"
20.0,UCL,89.6,90.2,61.4,60.3,98.7,"London, United Kingdom"
21.0,University of Toronto,89.5,99.7,-,49.1,96,"Toronto, Canada"
22.0,ETH Zurich,89.0,87.1,99.2,49.5,96.3,"Zürich, Switzerland"
23.0,Peking University,88.8,71.5,76.6,86.9,98.5,"Beijing, China (Mainland)"
24.0,University of Waterloo,88.7,98.5,86.2,88,75.5,"Waterloo, Canada"
25.0,The University of Tokyo,87.8,91,74.6,-,99.5,"Tokyo, Japan"
26.0,Tecnológico de Monterrey,87.3,76.2,93,89.3,85.3,"Monterrey, Mexico"
27.0,University of Michigan-Ann Arbor,85.6,99.8,65.5,-,91.2,"Ann Arbor, United States"
28.0,Duke University,84.8,96.7,70.9,-,77.7,"Durham, United States"
29.0,Northwestern University,84.0,92.1,85.9,46,72.5,"Evanston, United States"
29.0,The University of New South Wales (UNSW Sydney),,87.3,64.6,-,94.3,
30.0,Imperial College London,82.8,95.9,-,-,99.8,"London, United Kingdom"
31.0,Pontificia Universidad Católica de Chile (UC),82.3,78.4,89.1,-,94.6,"Santiago, Chile"
33.0,Fudan University,81.8,85.6,71.2,80.2,91.4,"Shanghai, China (Mainland)"
34.0,Seoul National University,80.9,72.6,-,-,95.2,"Seoul, South Korea"
35.0,Zhejiang University,80.4,99,63,99.7,86.6,"Hangzhou, China (Mainland)"
36.0,Purdue University,79.8,94.4,84.2,98.3,66.7,"West Lafayette, United States"
37.0,Waseda University,78.0,65.1,60.8,83.9,87.7,"Tokyo, Japan"
38.0,Carnegie Mellon University,76.8,96.6,-,84.3,72.8,"Pittsburgh, United States"
39.0,Delft University of Technology,76.2,82.5,74.8,67.5,86.4,"Delft, Netherlands"
40.0,Georgia Institute of Technology,75.7,95.9,-,91.6,76.7,"Atlanta, United States"
41.0,Shanghai Jiao Tong University,74.8,80.9,79.8,-,88.7,"Shanghai, China (Mainland)"
42.0,The University of Manchester,73.9,74.1,-,-,97.5,"Manchester, United Kingdom"
43.0,Johns Hopkins University,,94.8,79.2,-,48.9,
44.0,Politecnico di Milano,,96.1,99.3,-,82.5,
45.0,Western University,,88.6,77.7,-,61.4,
46.0,"KIT, Karlsruhe Institute of Technology",72.6,89.1,85.5,-,84.3,"Karlsruhe, Germany"
47.0,University of Texas at Austin,72.5,74.5,68.2,-,80.6,"Austin, United States"
48.0,The London School of Economics and Political Science (LSE),72.2,-,-,96,99.7,"London, United Kingdom"
49.0,The University of Edinburgh,,79.5,-,55.3,93.9,
50.0,University of Bristol,,73.9,60.1,60.9,82.5,
51.0,National Taiwan University (NTU),71.4,53.4,-,-,78,"Taipei City, Taiwan"
52.0,Kyoto University,,81.8,-,-,94.6,
53.0,University of Leeds,,83,81.2,62.3,77.4,
54.0,Monash University,70.4,84.1,-,-,87.7,"Melbourne, Australia"
55.0,Brown University,69.2,51.5,85.5,64.8,53.5,"Providence, United States"
56.0,Keio University,69.1,55.2,71.2,-,78.7,"Tokyo, Japan"
57.0,University of Illinois at Urbana-Champaign,69.0,78.3,-,95.4,56.1,"Champaign, United States"
58.0,RWTH Aachen University,68.2,94.7,-,-,94.7,"Aachen, Germany"
59.0,University of Southern California,67.8,72.2,-,61.2,54.7,"Los Angeles, United States"
60.0,University of North Carolina at Chapel Hill,67.6,96.9,-,72.3,44.3,"Chapel Hill, United States"
61.0,University of Washington,67.4,76.5,-,69.4,50.1,"Seattle, United States"
62.0,University of Technology Sydney,67.1,75.6,74,70.4,77.3,"Haymarket, Australia"
63.0,California Institute of Technology (Caltech),,91.3,-,67.7,83.1,
64.0,The University of Queensland,,91.6,-,-,78.3,
65.0,University of Wisconsin-Madison,,69.5,84.1,-,50.1,
66.0,University of Nottingham,66.0,93,-,57.9,71.9,"Nottingham, United Kingdom"
67.0,Tokyo Institute of Technology (Tokyo Tech),65.8,76.7,75.7,79.9,82.1,"Tokyo, Japan"
68.0,King's College London,,46.2,83.9,50.8,84.6,
69.0,The University of Auckland,,56.6,97.8,-,57.4,
70.0,KTH Royal Institute of Technology ,65.5,57.1,81.2,78.4,65,"Stockholm, Sweden"
71.0,The Hong Kong Polytechnic University,65.4,88.8,95.6,96.5,40.1,"Hong Kong SAR, Hong Kong SAR"
72.0,Université PSL,65.1,75.9,-,-,98.4,"Paris, France"
73.0,American University of Beirut (AUB),64.9,46.6,98.8,71,47.9,"Beirut , Lebanon"
74.0,RMIT University,64.7,88,93.1,51.5,58.1,"Melbourne, Australia"
75.0,Korea University,64.5,47.4,-,-,89.3,"Seoul, South Korea"
76.0,Osaka University,64.3,86.8,67.9,89.9,69.6,"Osaka City, Japan"
77.0,KAIST - Korea Advanced Institute of Science & Technology,,76.4,73,-,81.1,
78.0,The University of Warwick,,-,-,62,92.5,
79.0,Australian National University (ANU),62.9,62.6,-,55.3,77.6,"Canberra, Australia"
80.0,Boston University,62.2,51.3,75.4,-,56.2,"Boston, United States"
81.0,McMaster University,,88.5,82.5,57.2,48.1,
82.0,University of Florida,,99.2,-,66.8,39.7,
83.0,Chalmers University of Technology,,85.2,87.6,88.8,60.3,
84.0,Universidad Nacional Autónoma de México  (UNAM),,-,-,50.3,88.5,
85.0,The Ohio State University,61.3,84.1,-,77.5,56.8,"Columbus, United States"
86.0,Yonsei University,61.2,51.7,-,-,84.2,"Seoul, South Korea"
87.0,Universitat de Barcelona,,99.5,74.6,-,39,
88.0,University College Dublin,,77.7,76,45.7,41.6,
89.0,City University of Hong Kong,60.5,90.2,98.9,90.2,31.6,
90.0,Georgetown University,60.4,-,73.4,87.2,44.7,"Washington D.C., United States"
91.0,"Trinity College Dublin, The University of Dublin",60.1,-,94.9,-,45.8,"Dublin, Ireland"
92.0,Nagoya University,59.9,86.6,79.3,97.6,42.2,"Nagoya, Japan"
93.0,University of Bath,59.6,75.5,-,55.3,67.2,"Bath, United Kingdom"
94.0,Universidad Politécnica de Madrid (UPM),59.4,92.9,-,59,50.4,"Madrid, Spain"
95.0,University of Cape Town,59.1,-,90.2,64.8,39,"Cape Town, South Africa"
96.0,Hanyang University,58.8,81.3,-,54.9,68.2,"Seoul, South Korea"
97.0,Alma Mater Studiorum - University of Bologna,58.2,98.8,-,-,43.9,"Bologna, Italy"
98.0,Macquarie University,57.9,69.2,91.6,-,46.4,"Sydney, Australia"
99.0,University of Alberta,57.6,79.3,62.9,56.2,44.7,"Edmonton, Canada"
100.0,Loughborough University,57.4,61.7,78.9,97.9,60.1,"Loughborough, United Kingdom"
101.0,University of Virginia,,,,,,"Charlottesville, United States"
101.0,Indian Institute of Technology Bombay (IITB),,,,,,"Mumbai, India"
101.0,Arizona State University,,,,,,"Tempe, United States"
101.0,North Carolina State University,,,,,,"Raleigh, United States"
101.0,Arizona State University,,97.9,-,99.3,30.9,
101.0,Sungkyunkwan University (SKKU),,,,,,"Suwon, South Korea"
101.0,Universidad de los Andes,,,,,,"Bogotá, Colombia"
101.0,University of Minnesota Twin Cities,,,,,,"Minneapolis, United States"
101.0,University of Southampton,,,,,,"Southampton, United Kingdom"
101.0,Sorbonne University,,,,,,"Paris, France"
101.0,Queen's University at Kingston,,,,,,"Kingston, Canada"
102.0,Indian Institute of Technology Bombay (IITB),,56.3,-,-,73.9,
103.0,North Carolina State University,,92.3,85.9,98.4,-,
104.0,Queen's University at Kingston,,47.7,-,-,64.3,
105.0,Sorbonne University,,67.3,75.5,-,44.7,
106.0,Sungkyunkwan University (SKKU),,51.9,89.1,-,73.3,
107.0,Universidad de los Andes,,-,-,55.5,83.9,
108.0,University of Minnesota Twin Cities,,93.6,-,58.8,27.3,
109.0,University of Southampton,,72.8,72.7,66.7,49.8,
110.0,University of Virginia,,48.3,-,87.3,37.9,
111.0,Sapienza University of Rome,,,,,,"Rome, Italy"
111.0,Technische Universität Berlin (TU Berlin),,,,,,"Berlin, Germany"
111.0,Queensland University of Technology (QUT),,,,,,"Brisbane, Australia"
111.0,University of Navarra,,,,,,"Pamplona, Spain"
111.0,Technical University of Darmstadt,,,,,,"Darmstadt, Germany"
111.0,Texas A&M University,,,,,,"College Station, United States"
111.0,Washington University in St. Louis,,,,,,"St. Louis, United States"
111.0,University of Birmingham,,,,,,"Birmingham, United Kingdom"
111.0,Durham University,,,,,,"Durham, United Kingdom"
111.0,Durham University,,44.1,-,44.5,87.2,
111.0,The University of Western Australia,,,,,,"Perth, Australia"
111.0,Huazhong University of Science and Technology,,,,,,"Wuhan, China (Mainland)"
111.0,Wuhan University,,,,,,"Wuhan, China (Mainland)"
112.0,Huazhong University of Science and Technology,,96.7,72.6,100,-,
113.0,Queensland University of Technology (QUT),,85.6,-,91,42.3,
114.0,Sapienza University of Rome,,74.1,-,-,35.6,
115.0,Technical University of Darmstadt,,50.3,76.5,74.1,59.7,
116.0,Technische Universität Berlin (TU Berlin),,46.8,-,77.4,69.4,
117.0,Texas A&M University,,73.8,-,51.3,53.3,
118.0,The University of Western Australia,,56.4,-,-,56.4,
119.0,University of Birmingham,,51.2,-,47.8,72.2,
120.0,University of Navarra,,66.6,-,68.9,70.1,
121.0,Lomonosov Moscow State University,,,,,,"Moscow, Russia"
121.0,Washington University in St. Louis,,81.4,-,97.3,-,
121.0,Complutense University of Madrid,,,,,,"Madrid, Spain"
121.0,Lund University,,,,,,"Lund, Sweden"
121.0,Tel Aviv University,,,,,,"Tel Aviv, Israel"
121.0,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),,,,,,"Barcelona, Spain"
121.0,"University of California, San Diego (UCSD)",,,,,,"San Diego, United States"
121.0,University of Liverpool,,,,,,"Liverpool, United Kingdom"
121.0,Politecnico di Torino,,,,,,"Turin, Italy"
122.0,Wuhan University,,79.3,-,99.9,43.9,
123.0,Complutense University of Madrid,,46.2,-,-,59,
124.0,Lomonosov Moscow State University,,-,-,-,76,
125.0,Lund University,,-,-,60.2,54.3,
126.0,Politecnico di Torino,,75.8,97.6,-,47.8,
127.0,Tel Aviv University,,45.3,91.9,-,-,
128.0,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),,99.1,98.9,-,28.8,
129.0,"University of California, San Diego (UCSD)",,76,-,61.9,56.2,
130.0,University of Liverpool,,72,80.9,52.6,34.6,
131.0,Hokkaido University,,,,,,"Sapporo, Japan"
131.0,Hokkaido University,,62.2,63.9,98.1,50.3,
131.0,Tongji University,,,,,,"Shanghai, China (Mainland)"
131.0,Kyushu University,,,,,,"Fukuoka City, Japan"
131.0,Ludwig-Maximilians-Universität München,,,,,,"Munich, Germany"
131.0,University of Delaware,,,,,,"Newark, United States"
131.0,Indian Institute of Technology Delhi (IITD),,,,,,"New Delhi, India"
131.0,University of Calgary,,,,,,"Calgary, Canada"
131.0,University of Glasgow,,,,,,"Glasgow, United Kingdom"
131.0,The University of Sheffield,,,,,,"Sheffield, United Kingdom"
131.0,Universiti Malaya (UM),,,,,,"Kuala Lumpur, Malaysia"
132.0,Indian Institute of Technology Delhi (IITD),,-,-,63.8,66,
133.0,Kyushu University,,77.2,-,88,52.2,
134.0,Ludwig-Maximilians-Universität München,,47.7,-,-,77.4,
135.0,The University of Sheffield,,49.6,72.7,59.7,55.1,
136.0,Tongji University,,95.8,75.9,98.2,-,
137.0,Universiti Malaya (UM),,-,67.5,-,70.3,
138.0,University of Calgary,,70.9,66.5,-,41.2,
139.0,University of Delaware,,90.9,72.8,94.2,-,
140.0,University of Glasgow,,52.1,76.9,-,61.3,
141.0,Universidad de Chile,,,,,,"Santiago, Chile"
141.0,Aarhus University,,87.7,-,-,37.5,
141.0,Chulalongkorn University,,,,,,"Bangkok, Thailand"
141.0,National Yang Ming Chiao Tung University,,,,,,"Hsinchu City, Taiwan"
141.0,Universidad Nacional de Colombia,,,,,,"Bogotá, Colombia"
141.0,Thammasat University,,,,,,"Bangkok, Thailand"
141.0,University of Amsterdam,,,,,,"Amsterdam, Netherlands"
141.0,University of St.Gallen (HSG),,,,,,"St. Gallen, Switzerland"
141.0,Università Cattolica del Sacro Cuore,,,,,,"Milan, Italy"
141.0,University of Copenhagen,,,,,,"Copenhagen, Denmark"
141.0,Aarhus University,,,,,,"Aarhus, Denmark"
142.0,Chulalongkorn University,,-,-,-,52,
143.0,National Yang Ming Chiao Tung University,,53.4,-,-,62.2,
144.0,Thammasat University,,-,78.4,47.8,29.1,
145.0,Universidad Nacional de Colombia,,-,98.8,-,86.3,
146.0,Universidad de Chile,,-,-,-,91.2,
147.0,University of Amsterdam,,56.2,-,-,52.8,
148.0,University of Copenhagen,,60.3,-,-,41.2,
149.0,University of St.Gallen (HSG),,-,-,46.3,61.8,
150.0,Università Cattolica del Sacro Cuore,,78.6,-,77.5,34.1,
151.0,Erasmus University Rotterdam ,,,,,,"Rotterdam, Netherlands"
151.0,Ateneo de Manila University,,,,,,"Quezon City, Philippines"
151.0,Hitotsubashi University,,,,,,"Kunitachi City, Japan"
151.0,Drexel University,,,,,,"Philadelphia, United States"
151.0,Ateneo de Manila University,,-,98.6,55.3,36.3,
151.0,Tokyo University of Science,,,,,,"Kagurazaka, Japan"
151.0,Universitat Autònoma de Barcelona,,,,,,"Barcelona, Spain"
151.0,University of Kansas,,,,,,"Lawrence, United States"
151.0,Indian Institute of Technology Madras (IITM),,,,,,"Chennai, India"
151.0,Newcastle University,,,,,,"Newcastle upon Tyne, United Kingdom"
151.0,Indiana University Bloomington,,,,,,"Bloomington, United States"
152.0,Drexel University,,72.6,90.2,86.1,-,
153.0,Erasmus University Rotterdam ,,-,-,-,55.4,
154.0,Hitotsubashi University,,-,-,90.8,70.1,
155.0,Indian Institute of Technology Madras (IITM),,-,100,-,45.4,
156.0,Indiana University Bloomington,,-,80.2,57.7,-,
157.0,Newcastle University,,45.8,-,62,66.1,
158.0,Tokyo University of Science,,-,99.9,78.1,-,
159.0,Universitat Autònoma de Barcelona,,90.4,83.7,-,29.6,
160.0,University of Kansas,,94.4,-,93.3,-,
161.0,National Cheng Kung University (NCKU),,,,,,"Tainan City, Taiwan"
161.0,Nanjing University,,,,,,"Nanjing, China (Mainland)"
161.0,Beijing Institute of Technology,,87.5,-,99.4,-,
161.0,Beijing Institute of Technology,,,,,,"Beijing, China (Mainland)"
161.0,Dartmouth College,,,,,,"Hanover, United States"
161.0,Queen's University Belfast,,,,,,"Belfast, United Kingdom"
161.0,University of Illinois at Chicago (UIC),,,,,,"Chicago, United States"
161.0,Università di Padova,,,,,,"Padova, Italy"
161.0,Xi’an Jiaotong University,,,,,,"Xi'an, China (Mainland)"
161.0,Universidad Carlos III de Madrid (UC3M),,,,,,"Madrid, Spain"
161.0,Lahore University of Management Sciences (LUMS),,,,,,"Lahore, Pakistan"
162.0,Dartmouth College,,-,-,83.4,27.3,
163.0,Lahore University of Management Sciences (LUMS),,-,93.8,74.2,42.9,
164.0,Nanjing University,,-,74.4,99.1,-,
165.0,National Cheng Kung University (NCKU),,44.5,-,98.4,46,
166.0,Queen's University Belfast,,66.3,70.3,75.3,31,
167.0,Universidad Carlos III de Madrid (UC3M),,74.5,76.2,-,44.7,
168.0,University of Illinois at Chicago (UIC),,-,-,88,29.3,
169.0,Università di Padova,,99.4,-,-,28.3,
170.0,Xi’an Jiaotong University,,-,73.2,93.1,28.4,
171.0,Universidad Pontificia Comillas,,,,,,"Madrid, Spain"
171.0,Tufts University,,,,,,"Medford, United States"
171.0,The University of Arizona,,,,,,"Tucson, United States"
171.0,"University of California, Davis",,,,,,"Davis, United States"
171.0,The University of Adelaide,,,,,,"Adelaide, Australia"
171.0,The Hebrew University of Jerusalem,,,,,,"Jerusalem, Israel"
171.0,Bauman Moscow State Technical University,,,,,,"Moscow, Russia"
171.0,Saint Petersburg State University,,,,,,"Saint Petersburg, Russia"
171.0,Lehigh University,,,,,,"Bethlehem, United States"
171.0,Aalto University,,,,,,"Espoo, Finland"
171.0,Aalto University,,-,-,-,42.7,
172.0,Bauman Moscow State Technical University,,-,77,98.1,45.8,
173.0,Lehigh University,,67.9,70.3,68.3,-,
174.0,Saint Petersburg State University,,-,-,71.6,-,
175.0,The Hebrew University of Jerusalem,,-,-,-,28,
176.0,The University of Adelaide,,68.5,-,-,38.1,
177.0,The University of Arizona,,69.4,-,57.5,-,
178.0,Tufts University,,44.6,-,95.9,-,
179.0,Universidad Pontificia Comillas,,-,99.3,-,44,
180.0,"University of California, Davis",,69.8,-,-,41.5,
181.0,University of Wollongong,,,,,,"Wollongong, Australia"
181.0,University of Warsaw ,,,,,,"Warsaw, Poland"
181.0,University of Vienna,,,,,,"Vienna, Austria"
181.0,University of Pittsburgh,,,,,,"Pittsburgh, United States"
181.0,University of Surrey,,,,,,"Guildford, United Kingdom"
181.0,Universidad Autónoma de Madrid,,,,,,"Madrid, Spain"
181.0,Maastricht University ,,,,,,"Maastricht, Netherlands"
181.0,Ecole des Ponts ParisTech,,,,,,"Paris, France"
181.0,Charles University,,,,,,"Prague, Czechia"
181.0,Charles University,,-,98.3,-,32.8,
181.0,Renmin (People's) University of China,,,,,,"Beijing, China (Mainland)"
182.0,Ecole des Ponts ParisTech,,-,76.3,63.1,49.3,
183.0,Maastricht University ,,-,86.8,-,26,
184.0,Renmin (People's) University of China,,-,-,90.5,32.3,
185.0,Universidad Autónoma de Madrid,,62.1,-,-,53.9,
186.0,University of Pittsburgh,,67.6,-,65.1,-,
187.0,University of Surrey,,94.7,-,-,25.7,
188.0,University of Vienna,,-,-,-,42.3,
189.0,University of Warsaw ,,-,-,57.8,41.6,
190.0,University of Wollongong,,61,73.9,-,34.6,
191.0,Cardiff University,,-,80.9,-,44.3,
191.0,Cardiff University,,,,,,"Cardiff, United Kingdom"
191.0,Lancaster University,,,,,,"Lancaster,, United Kingdom"
191.0,Universitat Pompeu Fabra (Barcelona),,,,,,"Barcelona, Spain"
191.0,University of Limerick,,,,,,"Limerick, Ireland"
191.0,Dublin City University,,,,,,"Dublin, Ireland"
191.0,University of Notre Dame,,,,,,"Notre Dame, United States"
191.0,University of Tsukuba,,,,,,"Tsukuba City, Japan"
191.0,University of Witwatersrand,,,,,,"Johannesburg, South Africa"
191.0,Université de Montréal ,,,,,,"Montreal, Canada"
191.0,Taylor's University,,,,,,"Subang Jaya, Malaysia"
191.0,University of South Florida,,,,,,"Tampa, United States"
192.0,Dublin City University,,-,98.7,-,27.3,
193.0,Lancaster University,,-,72.2,68.9,30.3,
194.0,Taylor's University,,-,99.1,57.4,57.7,
195.0,Universitat Pompeu Fabra (Barcelona),,65.2,-,-,-,
196.0,University of Limerick,,44.1,84.5,72.7,26.3,
197.0,University of Notre Dame,,-,-,-,36.2,
198.0,University of South Florida,,94.5,-,69.6,-,
199.0,University of Tsukuba,,54.9,74.6,97.8,-,
200.0,University of Witwatersrand,,-,-,-,27.6,
201.0,University of Southern Denmark (SDU),,,,,,"Odense, Denmark"
201.0,University of Science and Technology of China,,,,,,"Hefei, China (Mainland)"
201.0,University of Milan,,,,,,"Milan, Italy"
201.0,University of Massachusetts Amherst,,,,,,"Amherst, United States"
201.0,University of Latvia,,,,,,"Riga, Latvia"
201.0,University of St Andrews,,,,,,"St. Andrews, United Kingdom"
201.0,University of Delhi,,,,,,"New Delhi, India"
201.0,University of Strathclyde,,,,,,"Glasgow, United Kingdom"
201.0,University College Cork,,,,,,"Cork, Ireland"
201.0,Universiti Tunku Abdul Rahman (UTAR),,,,,,"Kampar, Malaysia"
201.0,Universite libre de Bruxelles,,,,,,"Brussels, Belgium"
201.0,Technische Universität Dresden,,,,,,"Dresden, Germany"
201.0,Universitat Politecnica de Valencia,,,,,,"València, Spain"
201.0,Universidade Nova de Lisboa,,,,,,"Lisbon, Portugal"
201.0,UCSI University,,,,,,"Kuala Lumpur, Malaysia"
201.0,University of Colorado Boulder,,,,,,"Boulder, United States"
201.0,The American University in Cairo,,,,,,"Cairo, Egypt"
201.0,Sun Yat-sen University,,,,,,"Guangzhou, China (Mainland)"
201.0,"Stony Brook University, State University of New York",,,,,,"Stony Brook, United States"
201.0,Shandong University,,,,,,"Jinan, China (Mainland)"
201.0,Ritsumeikan University,,,,,,"Kyoto, Japan"
201.0,Riga Technical University,,,,,,"Riga, Latvia"
201.0,Université Laval,,,,,,"Québec, Canada"
201.0,Universitat de Valencia,,,,,,"València, Spain"
201.0,Université catholique de Louvain (UCLouvain),,,,,,"Louvain-la-Neuve, Belgium"
201.0,Northeastern University,,,,,,"Boston, United States"
201.0,Uppsala University,,,,,,"Uppsala, Sweden"
201.0,Université de Montpellier,,,,,,"Montpellier, France"
201.0,National Technical University of Athens,,,,,,"Athens, Greece"
201.0,National Taiwan University of Science and Technology (Taiwan Tech),,,,,,"Taipei City, Taiwan"
201.0,MGIMO University,,,,,,"Moscow, Russia"
201.0,Jagiellonian University,,,,,,"Krakow, Poland"
201.0,Indian Institute of Technology Kharagpur (IIT-KGP),,,,,,"Kharagpur, India"
201.0,Humboldt-Universität zu Berlin,,,,,,"Berlin, Germany"
201.0,George Washington University,,,,,,"Washington D.C., United States"
201.0,Pohang University of Science And Technology (POSTECH),,,,,,"Pohang , South Korea"
201.0,Curtin University,,,,,,"Perth, Australia"
201.0,Brno University of Technology,,,,,,"Brno, Czechia"
201.0,Hiroshima University,,,,,,"Higashihiroshima City, Japan"
201.0,Aston University,,,,,,"Birmingham, United Kingdom"
201.0,Utrecht University,,,,,,"Utrecht, Netherlands"
201.0,Bogaziçi Üniversitesi,,,,,,"Istanbul, Turkey"
201.0,Virginia Polytechnic Institute and State University,,,,,,"Blacksburg, United States"
201.0,Queen Mary University of London,,,,,,"London, United Kingdom"
201.0,Pontificia Universidad Javeriana,,,,,,"Bogotá, Colombia"
201.0,Vanderbilt University,,,,,,"Nashville, United States"
201.0,HSE University,,,,,,"Moscow, Russia"
201.0,Université de Montréal ,,57.7,-,-,49.7,
201.0,Al-Farabi Kazakh National University,,,,,,"Almaty, Kazakhstan"
201.0,Pontificia Universidad Catolica del Peru,,,,,,"Lima, Peru"
202.0,Al-Farabi Kazakh National University,,-,90.6,63.8,53.2,
203.0,Aston University,,46.8,-,60.4,31.7,
204.0,Bogaziçi Üniversitesi,,-,-,-,36.5,
205.0,Brno University of Technology,,-,99.9,-,29,
206.0,Curtin University,,56.5,-,-,44.8,
207.0,George Washington University,,-,-,-,29.3,
208.0,HSE University,,-,-,47.3,-,
209.0,Hiroshima University,,57.3,-,97.5,-,
210.0,Humboldt-Universität zu Berlin,,-,-,-,60.7,
211.0,Indian Institute of Technology Kharagpur (IIT-KGP),,-,-,65.6,36,
212.0,Jagiellonian University,,-,79.4,-,34.4,
213.0,MGIMO University,,-,100,-,-,
