2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
101-150,101-150,Saint Petersburg State University,Russia,68.1,75.8,64.9,56.1,,
101-150,151-200,Scuola Normale Superiore di Pisa,Italy,70.4,87.1,50.8,40,,
101-150,50  ,Stockholm University,Sweden,68.6,54.9,90.5,80,,
101-150,,The University of Hong Kong,Hong Kong SAR,66.9,88.3,80.9,66.4,,
101-150,,The University of New South Wales (UNSW Sydney),Australia,61.3,88.6,93.7,69.2,,
101-150,151-200,Tulane University,United States,75.7,0,75.4,69.2,,
101-150,101-150,Universidad Autónoma de Madrid,Spain,72.1,66.5,76.4,63.4,,
101-150,151-200,Universidad Nacional Mayor de San Marcos,Peru,73.9,52.9,58.6,46.4,,
101-150,,"Université Bordeaux 3, Michel de Montaigne",France,63.6,76.8,78.8,69.2,,
101-150,101-150,Université catholique de Louvain (UCLouvain),Belgium,69.5,74,75,56.1,,
101-150,51-100,Universite libre de Bruxelles,Belgium,69.7,72.4,75.2,69.2,,
101-150,,Université Lumière Lyon 2,France,66.6,76.6,73.7,56.1,,
101-150,101-150,University of Bern,Switzerland,64.7,55.6,90.1,80,,
101-150,101-150,University of Bristol,United Kingdom,62.8,74.5,92.4,78.1,,
101-150,101-150,University of Göttingen,Germany,64.8,76.5,84.6,66.4,,
101-150,51-100,University of Groningen,Netherlands,72.2,46.1,85.5,71.7,,
101-150,101-150,University of Haifa,Israel,65.1,59.9,79.5,74,,
101-150,101-150,University of Helsinki,Finland,67.4,56.9,84.6,76.1,,
101-150,101-150,University of Naples - Federico II,Italy,65.7,78.2,79.5,66.4,,
101-150,151-200,University of Nottingham,United Kingdom,62.4,78,86.3,81.7,,
101-150,101-150,University of Pittsburgh,United States,66.5,66.6,89.3,71.7,,
101-150,51-100,University of the Philippines,Philippines,77.4,55.7,62.6,46.4,,
101-150,,University of Turin,Italy,66,64.4,82.7,76.1,,
101-150,51-100,University of Warsaw ,Poland,72.4,64.5,70.5,69.2,,
101-150,101-150,Utrecht University,Netherlands,64.7,65.9,90.3,76.1,,
101-150,,Vanderbilt University,United States,76,31.4,77.5,63.4,,
101-150,,Waseda University,Japan,73.3,62.7,51.6,40,,
101-150,151-200,Washington State University,United States,64.2,77.2,81,66.4,,
101-150,51-100,Washington University in St. Louis,United States,68.5,42.6,91,80,,
151-200,151-200,"Adam Mickiewicz University, Poznań",Poland,60.7,60.5,83.1,76.1,,
151-200,101-150,Albert-Ludwigs-Universitaet Freiburg,Germany,64.2,63.3,77.9,63.4,,
151-200,151-200,Gadjah Mada University,Indonesia,68.7,54,57.4,46.4,,
151-200,101-150,Johannes Gutenberg Universität Mainz,Germany,63.6,48.5,87.6,69.2,,
151-200,151-200,Koç University,Turkey,63.4,73.7,67.4,51.7,,
151-200,101-150,Korea University,South Korea,71,68.2,42.9,31.7,,
151-200,201-240,L.N. Gumilyov Eurasian National University (ENU),Kazakhstan,70.1,80.7,36.1,20,,
151-200,151-200,Martin-Luther-Universität Halle-Wittenberg,Germany,63.2,71.2,68,51.7,,
151-200,151-200,Nagoya University,Japan,63.3,60.1,74.5,63.4,,
151-200,51-100,Nanjing University,China (Mainland),58.2,62,86.3,78.1,,
151-200,201-240,Politecnico di Milano,Italy,57.9,66.2,84.7,69.2,,
151-200,,Pusan National University,South Korea,66.5,55.4,59.2,46.4,,
151-200,,Texas A&M University,United States,62.5,43.7,85.3,74,,
151-200,,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,65.7,69.5,51.2,46.4,,
151-200,101-150,The Hebrew University of Jerusalem,Israel,60.5,68.8,83.8,74,,
151-200,,Tohoku University,Japan,70.5,67.5,51.9,40,,
151-200,201-240,Tomsk State University,Russia,58.8,71.3,79.5,66.4,,
151-200,,Tsinghua University,China (Mainland),67.1,79,64.6,40,,
151-200,,Universidad de los Andes,Colombia,69.5,57.9,59.4,46.4,,
151-200,201-240,Universidade de Santiago de Compostela,Spain,61.8,75.3,79.3,66.4,,
151-200,,Università degli studi Roma Tre,Italy,66.4,37.3,73.4,51.7,,
151-200,151-200,Universität Innsbruck,Austria,57.8,68.4,83.7,69.2,,
151-200,,Universitat Pompeu Fabra (Barcelona),Spain,61.8,67.6,80.1,63.4,,
151-200,101-150,Université de Strasbourg,France,65.3,39.7,78.8,66.4,,
151-200,101-150,Université de Toulouse II-Le Mirail,France,68.5,2.8,82.8,74,,
151-200,151-200,Université Laval,Canada,65.7,78.1,67.8,56.1,,
151-200,101-150,Université Paris-Nanterre,France,69.1,0,78.9,74,,
151-200,,Université Paris-Saclay,France,61.2,54.6,88.9,76.1,,
151-200,,Universiti Kebangsaan Malaysia (UKM),Malaysia,67.4,64.3,48.8,46.4,,
151-200,,Universiti Sains Malaysia (USM),Malaysia,73.8,63.1,37.2,46.4,,
151-200,101-150,University of Alberta,Canada,57.9,73.4,86.7,74,,
151-200,,University of Bari,Italy,59,81.9,82.2,60,,
151-200,101-150,University of Basel,Switzerland,65.6,49,83.9,74,,
151-200,51-100,University of Bergen,Norway,63.6,22.9,92.9,83.4,,
151-200,151-200,University of Birmingham,United Kingdom,58.7,72,81.8,71.7,,
151-200,101-150,University of Bradford,United Kingdom,67.7,25.3,81,71.7,,
151-200,101-150,University of Calgary,Canada,64.1,67.2,82.3,66.4,,
151-200,101-150,University of Cape Town,South Africa,63,49.1,86.5,71.7,,
151-200,151-200,University of Cincinnati,United States,62.9,54.1,88.6,80,,
151-200,101-150,University of Colorado Boulder,United States,60.1,59.4,90.3,74,,
151-200,101-150,University of Granada,Spain,64.9,52.2,80.9,78.1,,
151-200,201-240,University of Hawaiʻi at Mānoa,United States,62.2,58.4,78.6,63.4,,
151-200,101-150,University of Massachusetts Amherst,United States,66,42.9,82.8,76.1,,
151-200,151-200,University of Milan,Italy,64,51,78.4,63.4,,
151-200,,University of New Mexico,United States,59.7,56.6,89.3,74,,
151-200,151-200,University of Notre Dame,United States,58.3,67.1,78,74,,
151-200,151-200,"University of Rome ""Tor Vergata""",Italy,67,81.3,68.5,46.4,,
151-200,101-150,University of Wollongong,Australia,55,84.5,94.7,81.7,,
151-200,101-150,University of Zurich,Switzerland,65.1,56.9,77.7,63.4,,
151-200,151-200,Vrije Universiteit Amsterdam,Netherlands,61.7,30.4,88.8,74,,
201-240,101-150,Beijing Normal University ,China (Mainland),63.2,55.2,70.2,56.1,,
201-240,201-240,Catania University,Italy,56.4,66.4,74.8,66.4,,
201-240,,Dartmouth College,United States,57.9,73.4,78.8,66.4,,
201-240,,École Normale Supérieure de Lyon,France,59.8,54.6,79.3,56.1,,
201-240,151-200,Eötvös Loránd University,Hungary,63.3,33.4,72,69.2,,
201-240,,Friedrich-Alexander-Universität Erlangen-Nürnberg,Germany,61.4,46.6,72.4,60,,
201-240,151-200,Indiana University Bloomington,United States,58.6,52.3,85,66.4,,
201-240,151-200,Johns Hopkins University,United States,63.2,45.8,65.4,51.7,,
201-240,201-240,Masaryk University,Czech Republic,59.1,53.8,78,71.7,,
201-240,151-200,Queen's University at Kingston,Canada,61.3,64.9,64.7,51.7,,
