2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
251-300,251-300,University of Strathclyde,United Kingdom,54.3,61.8,85.3,74.8,,
251-300,251-300,University of Waikato,New Zealand,57.3,58.2,81.4,64.4,,
251-300,251-300,University of Witwatersrand,South Africa,57.9,59.1,74.6,69.6,,
251-300,251-300,WU (Vienna University of Economics and Business),Austria,59.1,61.3,81.5,55.7,,
251-300,151-200,Xiamen University,China (Mainland),57.7,52.2,93.6,74.8,,
301-350,301-350, University of Dundee,United Kingdom,55.2,53.8,82.3,70.7,,
301-350,, Western Sydney University,Australia,54.9,57,80.1,64.4,,
301-350,,Abai Kazakh National Pedagogical University,Kazakhstan,60,54.7,70.7,57.7,,
301-350,251-300,Al Ain University,United Arab Emirates,67.7,54.2,62.8,41.6,,
301-350,301-350,College of William and Mary,United States,53.6,53.2,94.9,80.5,,
301-350,301-350,Dublin City University,Ireland,47.9,63.6,85.3,70.7,,
301-350,251-300,Eötvös Loránd University,Hungary,62.3,54,71.5,57.7,,
301-350,301-350,George Mason University,United States,54,44.3,91.1,87.9,,
301-350,201-250,Hanyang University,South Korea,53.7,69,62.7,51,,
301-350,301-350,International Islamic University Malaysia (IIUM),Malaysia,62.5,54.2,72,55.7,,
301-350,,Jawaharlal Nehru University,India,60.5,54.5,71.1,53.5,,
301-350,301-350,Lancaster University,United Kingdom,46.8,61.2,91.1,81.2,,
301-350,301-350,Loyola University Chicago,United States,52.8,54.1,89,75.7,,
301-350,301-350,National and Kapodistrian University of Athens,Greece,58.6,54,72.9,61.3,,
301-350,,National Cheng Kung University (NCKU),Taiwan,59.4,63.2,69.1,41.6,,
301-350,251-300,National Chung Cheng University,Taiwan,60.4,57.3,68.8,53.5,,
301-350,301-350,National Tsing Hua University,Taiwan,56.9,65.3,69.1,51,,
301-350,301-350,Northeastern University,United States,50.8,50.5,94.7,85.7,,
301-350,301-350,Nottingham Trent University,United Kingdom,52.6,55.9,89.7,72.8,,
301-350,301-350,Plekhanov Russian University of Economics,Russia,50.1,67.3,79.1,57.7,,
301-350,,Purdue University,United States,46.5,68.2,89,68.4,,
301-350,,Simon Fraser University,Canada,54.9,51.1,87.5,79.8,,
301-350,301-350,Stellenbosch University,South Africa,56.5,56.3,72.6,64.4,,
301-350,201-250,Sungkyunkwan University(SKKU),South Korea,52.6,67.7,75,51,,
301-350,,The American University in Cairo,Egypt,58.4,68.7,51.8,41.6,,
301-350,,Universidad Anáhuac México,Mexico,58.7,70.3,59.6,32.2,,
301-350,,Universidad Austral de Chile,Chile,61.1,59.7,68.9,48.3,,
301-350,,Universidad de Santiago de Chile (USACH),Chile,57.8,72.1,49.3,37.4,,
301-350,251-300,Universidad Pontificia Comillas,Spain,52.1,79.2,59.8,41.6,,
301-350,301-350,Universidade de Brasília,Brazil,62.6,52.4,70.1,59.6,,
301-350,251-300,Universidade de Santiago de Compostela,Spain,54.5,56,84.8,70.7,,
301-350,251-300,Universidade Federal do Rio Grande Do Sul ,Brazil,63.4,49.5,77.3,61.3,,
301-350,301-350,Universitas Brawijaya ,Indonesia,55.7,64.2,73.1,55.7,,
301-350,,Universitat Ramon Llull,Spain,45.5,75.6,88.6,61.3,,
301-350,301-350,Université de Rennes 1 (University of Rennes),France,66.3,47.1,67.6,53.5,,
301-350,,Université Toulouse 1 Capitole,France,62,48,74.9,65.8,,
301-350,301-350,Universiti Teknologi MARA - UiTM,Malaysia,59.6,55.8,77.1,57.7,,
301-350,301-350,University of Bergen,Norway,59.7,48.4,81,64.4,,
301-350,301-350,University of Cincinnati,United States,48,57,91.7,90.4,,
301-350,251-300,University of Deusto,Spain,51,63.8,74.5,64.4,,
