2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
=100,97=,Universitat de Barcelona,Spain,72.4,68.5,86.1,71.1,71.7,72.7
101-150,101-150,Complutense University of Madrid,Spain,67.1,67.1,83.1,70.7,,55.5
101-150,101-150,Curtin University,Australia,60.4,68.4,92.8,80.2,,67
101-150,,Duke University,United States,72,70.7,91.3,70,,41
101-150,101-150,Friedrich-Alexander-Universität Erlangen-Nürnberg,Germany,66.7,60.1,84.9,79.7,,76.7
101-150,69=,Hanyang University,South Korea,62.9,72,87.2,84.1,,68.7
101-150,101-150,Harbin Institute of Technology,China (Mainland),61.2,63.4,89.1,90.4,,58.8
101-150,101-150,Hokkaido University,Japan,67.4,66.5,83.9,76.9,,56.9
101-150,,Imam Abdulrahman Bin Faisal University (IAU) (formerly UNIVERSITY OF DAMMAM),Saudi Arabia,60.1,84.7,78.6,69.3,,52.7
101-150,101-150,Indian Institute of Science,India,61.6,76.6,83.3,72.4,,42.3
101-150,101-150,Indian Institute of Technology Kanpur (IITK),India,67.9,80.3,80.7,69.7,,39.7
101-150,101-150,Indian Institute of Technology Kharagpur (IIT-KGP),India,62,80.3,81.5,76.1,,52.8
101-150,101-150,Karolinska Institute,Sweden,66.4,69,85.8,64.7,,75
101-150,56  ,Korea University,South Korea,63,76.6,87.4,84.5,,52.8
101-150,101-150,Kyushu University,Japan,63.3,68,82.8,77.4,,56.4
101-150,101-150,McMaster University,Canada,72.1,71.2,80.6,64.2,,41.3
101-150,101-150,Nanjing University,China (Mainland),64.2,65.3,92.7,89.5,,46.9
101-150,101-150,National Tsing Hua University,Taiwan,64.5,70.9,82.2,72.1,,60.7
101-150,101-150,Newcastle University,United Kingdom,65,72.4,81,68.5,,75.4
101-150,101-150,North Carolina State University,United States,62.1,69.7,87.2,77.4,,69.1
101-150,101-150,Osaka University,Japan,68.3,73.3,81.6,76.6,,58.1
101-150,101-150,Pontificia Universidad Católica de Chile (UC),Chile,69.8,80.4,65.5,55.1,,33.6
101-150,101-150,Rice University,United States,71.7,62.3,92.6,74.6,,60.7
101-150,151-200,RUDN University,Russia,74.1,68.9,72.6,63.3,,53.4
101-150,101-150,Sapienza University of Rome,Italy,64.2,72.8,80.8,75.5,,63.6
101-150,75=,Sorbonne University,France,67.7,71.2,84.9,76.6,,76.6
101-150,101-150,Technische Universität Dresden,Germany,65.6,64.6,84.1,75.5,,77.6
101-150,101-150,Technische Universität Wien,Austria,70.7,63.5,80.8,69.3,,58.3
101-150,101-150,The Ohio State University,United States,64.9,76.4,87,74.9,,47.6
101-150,101-150,The University of Adelaide,Australia,63.3,71,94.8,80.2,,62.9
101-150,101-150,The University of Sheffield,United Kingdom,65.3,72.4,84.9,73.1,,57.1
101-150,101-150,Tohoku University,Japan,68.6,71,79.9,74.6,,53
101-150,101-150,Universidad Autónoma de Madrid,Spain,67.9,66.3,86.6,78,,82.7
101-150,101-150,Universidad de Buenos Aires (UBA),Argentina,70.7,80.3,71.7,59,,29.7
101-150,101-150,Universidad Nacional de Colombia,Colombia,67.2,79.1,72.7,63.3,,46
101-150,101-150,Universidade Federal do Rio de Janeiro,Brazil,74.2,65.6,77.1,70,,43.3
101-150,101-150,Universitat Autònoma de Barcelona,Spain,69.2,62.2,83.7,68.1,,62.2
101-150,101-150,Universitat Politècnica de València,Spain,66.8,63.8,83.5,74.3,,68.5
101-150,101-150,Université de Montréal ,Canada,72.7,67.5,82.4,72.4,,56.2
101-150,101-150,Universiti Sains Malaysia (USM),Malaysia,62,67,81.8,77.4,,72.9
101-150,99=,Universiti Teknologi PETRONAS (UTP),Malaysia,73.8,64,83.2,74.9,,77.8
101-150,101-150,University of Bath,United Kingdom,66.3,71.3,88.3,70.4,,56.7
101-150,101-150,University of Calgary,Canada,67,71.3,84.2,74.3,,62
101-150,,University of Chinese Academy of Sciences,China (Mainland),61.1,57.7,91.6,100,,69.5
101-150,101-150,University of Colorado Boulder,United States,66.6,69.5,89.2,70.7,,43.6
101-150,80=,University of Delaware,United States,77,58,91.6,76.9,,41.8
101-150,101-150,University of Massachusetts Amherst,United States,71.3,67.8,89.7,73.1,,22.1
101-150,101-150,University of Naples - Federico II,Italy,65.3,64.7,81,74.9,,72.2
101-150,101-150,University of Washington,United States,62.1,69.2,94.2,78.2,,58.5
101-150,,Utrecht University,Netherlands,68.1,68.8,89.6,75.5,,60.1
151-200,151-200,Aalto University,Finland,71,52.2,84.8,71.4,,77.1
151-200,151-200,Aarhus University,Denmark,64.8,58,86.8,69.7,,62
151-200,101-150,Chulalongkorn University,Thailand,66.2,67.1,80,69.7,,54.6
151-200,,City University of Hong Kong,Hong Kong SAR,56.3,62,93.7,84.5,,51.8
151-200,,Daegu Gyeongbuk Institute of Science and Technology (DGIST),South Korea,63,78.1,77.2,69.7,,26.6
151-200,92  ,East China University of Science and Technology,China (Mainland),69.9,48,84.6,88.1,,56.2
151-200,101-150,Huazhong University of Science and Technology,China (Mainland),58.6,62.3,90.4,88.9,,64.5
151-200,151-200,Indian Institute of Technology Roorkee (IITR),India,58.4,72.3,78.9,69.7,,43.5
151-200,,Institut Polytechnique de Paris,France,69.9,70.2,70.2,60.1,,44.6
151-200,101-150,"Institute of Chemical Technology (UDCT), Mumbai",India,62.6,69.2,83.4,71.4,,37.8
151-200,151-200,Instituto Politécnico Nacional (IPN),Mexico,60.6,75.9,76,65.2,,31.2
151-200,151-200,Istanbul Technical University,Turkey,66.3,67.6,75.8,63.3,,58.7
151-200,151-200,Jilin University,China (Mainland),56.6,59.7,89.4,88.1,,61.2
151-200,151-200,Khalifa University of Science and Technology,United Arab Emirates,59.5,64,86.3,72.8,,85.3
151-200,,King Khalid University,Saudi Arabia,55.4,80.3,77.1,62.3,,57.1
