2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
151-200,,Universidad de Santiago de Chile (USACH),Chile,65.1,72.1,74.3,64.2,,
151-200,151-200,Universidad de Sevilla,Spain,62.7,63.5,77.7,73.2,,
151-200,151-200,Universidade Estadual de Campinas (Unicamp),Brazil,67.1,61.4,70.8,64.2,,
151-200,151-200,Universidade Nova de Lisboa,Portugal,60.3,51.1,81.2,78.6,,
151-200,151-200,Università degli studi Roma Tre,Italy,64.4,53.2,80.7,68.2,,
151-200,,Universitas Indonesia,Indonesia,69.7,72.2,54.5,50.3,,
151-200,151-200,Université de Montréal ,Canada,56,67.4,88.3,77.4,,
151-200,201-230,Université de Strasbourg,France,61.1,62.2,75.6,68.2,,
151-200,151-200,Universite libre de Bruxelles,Belgium,68.3,55.8,72.2,64.2,,
151-200,151-200,Universiti Malaya (UM),Malaysia,69.6,71.8,68.4,50.3,,
151-200,151-200,University of Alberta,Canada,56.1,72.2,84.3,73.2,,
151-200,151-200,University of Basel,Switzerland,61.3,67.2,74.7,70,,
151-200,151-200,University of Bern,Switzerland,59.3,65.3,80.8,76.1,,
151-200,151-200,"University of California, Irvine",United States,57.3,56.1,91,79.8,,
151-200,101-150,University of Cape Town,South Africa,58.5,53.1,93,78.6,,
151-200,151-200,University of Coimbra,Portugal,58,49.9,86.5,77.4,,
151-200,201-230,University of Delhi,India,71.3,74,59.8,53.7,,
151-200,,University of Lausanne,Switzerland,58.4,68.3,85.6,71.6,,
151-200,101-150,University of Liverpool,United Kingdom,56.5,66.4,92.2,82.1,,
151-200,151-200,University of Naples - Federico II,Italy,63.1,66,80.1,70,,
151-200,101-150,University of Nottingham,United Kingdom,57.9,78.4,87.2,76.1,,
151-200,151-200,University of Otago,New Zealand,60.6,73.2,83.1,70,,
151-200,201-230,University of Pisa,Italy,62.6,62,81.5,71.6,,
151-200,151-200,University of Pittsburgh,United States,56.6,51.3,91.8,78.6,,
151-200,151-200,University of Reading,United Kingdom,54.7,62.3,88.9,79.8,,
151-200,,"University of Rome ""Tor Vergata""",Italy,61.8,71.1,72.2,66.3,,
151-200,151-200,University of Salamanca,Spain,62.9,65.3,75.6,64.2,,
151-200,151-200,University of Southern California,United States,54,55.7,97.1,79.8,,
151-200,151-200,Vrije Universiteit Amsterdam,Netherlands,63.6,35.8,89.3,79.8,,
151-200,151-200,Westfälische Wilhelms-Universität Münster ,Germany,69.4,60.3,70.1,59.5,,
151-200,151-200,Wuhan University,China (Mainland),67.8,59.8,68.1,61.9,,
151-200,101-150,Zhejiang University,China (Mainland),64.8,70.5,76,64.2,,
201-230,151-200,Arizona State University,United States,51.8,72.6,89.8,79.8,,
201-230,,Boğaziçi University,Turkey,61.5,61.9,70.5,61.9,,
201-230,,Boston College,United States,55.1,61.9,83,74.7,,
