2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
101-150,101-150,Universität Mannheim,Germany,64.1,65,90.1,81.9,,
101-150,101-150,Universitat Pompeu Fabra (Barcelona),Spain,65.8,70.8,80.7,77.4,,
101-150,101-150,Université catholique de Louvain (UCLouvain),Belgium,67.7,60.1,79.4,74.6,,
101-150,101-150,Université PSL,France,68.4,76.3,68.4,65.5,,
101-150,101-150,University College Dublin,Ireland,65.9,70.8,77.8,73.5,,
101-150,101-150,University of Bath,United Kingdom,66.5,69.6,84.1,71.9,,
101-150,101-150,"University of California, San Diego (UCSD)",United States,63.9,66.9,91.6,88,,
101-150,91=,University of Delhi,India,72.7,75.9,59.2,55.5,,
101-150,101-150,University of Florence,Italy,63.9,58.9,80.6,75.1,,
101-150,101-150,University of Geneva,Switzerland,64.4,58.4,77.7,74.1,,
101-150,151-200,University of Gothenburg,Sweden,63.2,45.7,86.5,86.5,,
101-150,86=,University of Groningen,Netherlands,69.2,47,86.2,83.6,,
101-150,101-150,University of Lausanne,Switzerland,66.6,55.4,82.6,77.4,,
101-150,101-150,University of Minnesota Twin Cities,United States,63.9,71.3,86.5,86.2,,
101-150,151-200,University of Otago,New Zealand,65.2,72.1,79.2,66.2,,
101-150,101-150,University of York,United Kingdom,68.5,64.1,80.5,78.3,,
101-150,101-150,University of Zurich,Switzerland,65.6,60.3,92.9,88.6,,
101-150,101-150,Victoria University of Wellington,New Zealand,66.7,71,77,66.2,,
101-150,101-150,Vrije Universiteit Amsterdam,Netherlands,70.5,43.8,85.4,81.1,,
101-150,,Wageningen University & Research,Netherlands,69,50.8,90.1,80.3,,
101-150,101-150,Waseda University,Japan,70.7,70.5,60.2,56.6,,
101-150,101-150,York University,Canada,66.8,61.8,75.6,74.1,,
101-150,98  ,Zhejiang University,China (Mainland),63.9,84.8,82,68.3,,
151-200,151-200, Western Sydney University,Australia,61.6,56.5,78.9,73,,
151-200,151-200,Arizona State University,United States,61.6,56.4,83.7,85.3,,
151-200,201-250,Boston College,United States,61.3,60.2,86.1,76.5,,
151-200,101-150,City University of New York,United States,61,60.1,79.1,85.3,,
151-200,151-200,Colegio de México,Mexico,69.9,53.1,53.9,55.5,,
151-200,101-150,Deakin University,Australia,62.1,68.4,78.6,76,,
151-200,151-200,Georgetown University,United States,58.5,65.6,83.9,79.5,,
151-200,151-200,Ghent University,Belgium,63.5,48.3,79.5,75.1,,
151-200,101-150,Indiana University Bloomington,United States,60.6,51.1,84.8,82.9,,
151-200,,Maastricht University ,Netherlands,61.4,55.6,83.7,76.5,,
151-200,101-150,Nanjing University,China (Mainland),64.4,61.9,78.4,67.6,,
151-200,101-150,Newcastle University,United Kingdom,59.4,64.9,84.9,82.9,,
151-200,151-200,Pontificia Universidad Javeriana,Colombia,68,78.4,46.2,44.2,,
151-200,201-250,Queen's University Belfast,United Kingdom,61.9,59.3,76.6,71.3,,
151-200,151-200,Queensland University of Technology (QUT),Australia,57.7,71.7,86,77.4,,
151-200,151-200,Rutgers University–New Brunswick,United States,57.9,63.1,83.6,81.9,,
151-200,101-150,Sun Yat-sen University,China (Mainland),64.7,54.8,82.1,70.2,,
151-200,,Taylor's University,Malaysia,65.6,58.8,57.5,53.2,,
151-200,151-200,The Ohio State University,United States,58.7,57.5,85.9,87.4,,
151-200,151-200,The University of Exeter,United Kingdom,57.1,63.4,87.4,85.6,,
151-200,151-200,"The University of Newcastle, Australia (UON)",Australia,59.9,62.9,80.7,71.9,,
151-200,151-200,The University of Western Australia,Australia,58.8,60.7,82.1,75.5,,
151-200,151-200,Tohoku University,Japan,69.1,55.6,58.1,57.7,,
151-200,201-250,UNESP,Brazil,65.4,67.4,54.8,50.5,,
151-200,151-200,Universidad Autónoma de Madrid,Spain,64,73.9,71.2,63.2,,
