2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
101-150,101-150,Chulalongkorn University,Thailand,61.9,67.8,77.4,60,,
101-150,101-150,Deakin University,Australia,59.2,63.6,89.2,75.1,,
101-150,,Fudan University,China (Mainland),55.7,87.7,85.4,65.2,,
101-150,101-150,Ghent University,Belgium,55.5,60.6,87.5,81.8,,
101-150,,Heriot-Watt University,United Kingdom,57.8,67.5,83,63.6,,
101-150,,Indian Institute of Technology Bombay (IITB),India,57.6,73.2,87,78.2,,
101-150,101-150,Indian Institute of Technology Madras (IITM),India,57.1,63.7,83.1,75.1,,
101-150,101-150,Istanbul Technical University,Turkey,61.7,77.1,76.8,73.4,,
101-150,101-150,King Fahd University of Petroleum & Minerals,Saudi Arabia,56.3,77.3,94.6,78.2,,
101-150,151-200,Massey University,New Zealand,59.2,62.3,81.6,63.6,,
101-150,101-150,Monash University,Australia,57.2,73.5,91.9,85.4,,
101-150,51-100,Nanjing University,China (Mainland),59.4,66.2,95.9,83.1,,
101-150,101-150,National Cheng Kung University (NCKU),Taiwan,58.8,68.7,89.5,68.9,,
101-150,101-150,National Taipei University of Technology,Taiwan,61.9,66,79.6,61.9,,
101-150,101-150,New York University (NYU),United States,59.1,72.6,88.4,72.2,,
101-150,51-100,Norwegian University of Science And Technology,Norway,61.7,55.6,88.9,83.1,,
101-150,51-100,Oxford Brookes University,United Kingdom,63,74.4,79.8,65.2,,
101-150,101-150,Rice University,United States,60.8,61.7,73.3,60,,
101-150,51-100,South China University of Technology,China (Mainland),58.5,54,90.1,85.4,,
101-150,151-200,Taylor's University,Malaysia,61.5,72.1,62.3,51,,
101-150,101-150,Technische Universität Dresden,Germany,61.6,47.4,86.4,79.6,,
101-150,101-150,The University of Adelaide,Australia,58.4,64.3,94.6,81.4,,
101-150,101-150,"The University of Newcastle, Australia (UON)",Australia,56.9,71.1,88.1,67.5,,
101-150,51-100,Universidad de Buenos Aires (UBA),Argentina,65,90.9,61.6,53.5,,
101-150,101-150,Universidad de Sevilla,Spain,58.9,53.8,84.5,74.5,,
101-150,51-100,Universidad Nacional de Colombia,Colombia,63.3,80.9,73.2,59,,
101-150,101-150,Universidade Estadual de Campinas (Unicamp),Brazil,60,75.2,78,60,,
101-150,101-150,Universidade Federal do Rio de Janeiro,Brazil,60.6,70.5,80.5,65.2,,
