core_id,country,city,guide,nid,title,logo,score,rank_display,asia_overall_ranking,europe_overall_ranking,region,stars,recm,dagger,redact,program_type
142,Ireland,Cork,,294515,"<div class=""td-wrap""><a href=""/universities/university-college-cork"" class=""uni-link"">University College Cork</a></div>",/sites/default/files/university-college-cork_142_small.jpg,,201-250,,,Europe,,0--,False,False,
137,United States,Boulder,,294520,"<div class=""td-wrap""><a href=""/universities/university-colorado-boulder"" class=""uni-link"">University of Colorado Boulder</a></div>",/sites/default/files/university-of-colorado-boulder_137_small.jpg,,201-250,,,North America,,0--,False,False,
156,India,New Delhi,,294501,"<div class=""td-wrap""><a href=""/universities/university-delhi"" class=""uni-link"">University of Delhi</a></div>",/sites/default/files/university-of-delhi_156_small.jpg,,201-250,,,Asia,,0--,False,False,
14262,Latvia,Riga,,293720,"<div class=""td-wrap""><a href=""/universities/university-latvia"" class=""uni-link"">University of Latvia</a></div>",/sites/default/files/university-of-latvia_592560cf2aeae70239af5637_small.jpg,,201-250,,,Europe,,0--,False,False,
394,United States,Amherst,,294866,"<div class=""td-wrap""><a href=""/universities/university-massachusetts-amherst"" class=""uni-link"">University of Massachusetts Amherst</a></div>",/sites/default/files/university-of-massachusetts-amherst_592560cf2aeae70239af4c0e_small.jpg,,201-250,,,North America,,0--,False,False,
1873,Italy,Milan,,294778,"<div class=""td-wrap""><a href=""/universities/university-milan"" class=""uni-link"">University of Milan</a></div>",/sites/default/files/230331095733am940735university-of-milan-1873-large-48x48.jpg,,201-250,,,Europe,,0--,False,False,
122,China (Mainland),Hefei,,294534,"<div class=""td-wrap""><a href=""/universities/university-science-technology-china"" class=""uni-link"">University of Science and Technology of China</a></div>",/sites/default/files/university-of-science-and-technology-of-china_122_small.jpg,,201-250,,,Asia,,0--,False,False,
464,Denmark,Odense,,294743,"<div class=""td-wrap""><a href=""/universities/university-southern-denmark-sdu"" class=""uni-link"">University of Southern Denmark (SDU)</a></div>",/sites/default/files/university-of-southern-denmark_592560cf2aeae70239af4c53_small.jpg,,201-250,,,Europe,,0--,False,False,
570,United Kingdom,St. Andrews,,297285,"<div class=""td-wrap""><a href=""/universities/university-st-andrews"" class=""uni-link"">University of St Andrews</a></div>",/sites/default/files/university-of-st-andrews_570_small.jpg,,201-250,,,Europe,,0--,False,False,
579,United Kingdom,Glasgow,,297470,"<div class=""td-wrap""><a href=""/universities/university-strathclyde"" class=""uni-link"">University of Strathclyde</a></div>",/sites/default/files/university-of-strathclyde_579_small.jpg,,201-250,,,Europe,,0--,False,False,
337,Canada,Québec,,294083,"<div class=""td-wrap""><a href=""/universities/universite-laval"" class=""uni-link"">Université Laval</a></div>",/sites/default/files/laval-university_337_small.jpg,,201-250,,,North America,,0--,False,False,
106,Belgium,Louvain-la-Neuve,,294550,"<div class=""td-wrap""><a href=""/universities/universite-catholique-de-louvain-uclouvain"" class=""uni-link"">Université catholique de Louvain (UCLouvain)</a></div>",/sites/default/files/universit-catholique-de-louvain-uclouvain_592560cf2aeae70239af4aed_small.jpg,,201-250,,,Europe,,0--,False,False,
26928,France,Montpellier,,309623,"<div class=""td-wrap""><a href=""/universities/universite-de-montpellier"" class=""uni-link"">Université de Montpellier</a></div>",/sites/default/files/universit-de-montpellier_592560e69988f300e2321d99_small.jpg,,201-250,,,Europe,,0--,False,False,
643,Sweden,Uppsala,,297218,"<div class=""td-wrap""><a href=""/universities/uppsala-university"" class=""uni-link"">Uppsala University</a></div>",/sites/default/files/uppsala-university_643_small.jpg,,201-250,,,Europe,,0--,False,False,
646,Netherlands,Utrecht,,297215,"<div class=""td-wrap""><a href=""/universities/utrecht-university"" class=""uni-link"">Utrecht University</a></div>",/sites/default/files/utrecht-university_646_small.jpg,,201-250,,,Europe,,0--,False,False,
649,United States,Nashville,,297212,"<div class=""td-wrap""><a href=""/universities/vanderbilt-university"" class=""uni-link"">Vanderbilt University</a></div>",/sites/default/files/vanderbilt-university_649_small.jpg,,201-250,,,North America,,0--,False,False,
