2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
101-150,151-200,Tokyo Institute of Technology (Tokyo Tech),Japan,,,,,,57.1
101-150,101-150,Università di Padova,Italy,,,,,,62.2
101-150,151-200,Université Paul Sabatier Toulouse III,France,,,,,,89.2
101-150,101-150,University of Aberdeen,United Kingdom,,,,,,55.8
101-150,101-150,University of Amsterdam,Netherlands,,,,,,60.2
101-150,101-150,University of Calgary,Canada,,,,,,47.4
101-150,101-150,University of Cape Town,South Africa,,,,,,71.5
101-150,101-150,University of East Anglia (UEA),United Kingdom,,,,,,45.5
101-150,101-150,University of Florida,United States,,,,,,57.6
101-150,101-150,University of Göttingen,Germany,,,,,,67.2
101-150,101-150,University of Helsinki,Finland,,,,,,57.1
101-150,101-150,University of Lausanne,Switzerland,,,,,,55.7
101-150,151-200,University of Leicester,United Kingdom,,,,,,63.4
101-150,101-150,University of Miami,United States,,,,,,56.9
101-150,101-150,University of Minnesota Twin Cities,United States,,,,,,57.9
101-150,101-150,University of Oklahoma,United States,,,,,,55.5
101-150,101-150,University of Plymouth,United Kingdom,,,,,,42.5
101-150,101-150,University of Science and Technology of China,China (Mainland),,,,,,61.9
101-150,101-150,University of Twente,Netherlands,,,,,,63.3
101-150,101-150,University of Zurich,Switzerland,,,,,,51
101-150,101-150,Uppsala University,Sweden,,,,,,63.9
101-150,151-200,Victoria University of Wellington,New Zealand,,,,,,48.6
101-150,101-150,Virginia Polytechnic Institute and State University,United States,,,,,,58.3
151-200,101-150,Aix-Marseille University,France,,,,,,80.9
151-200,,Aristotle University of Thessaloniki,Greece,,,,,,64.4
151-200,101-150,Brown University,United States,,,,,,40.3
151-200,201-230,China University of Mining and Technology,China (Mainland),,,,,,39.8
151-200,151-200,Complutense University of Madrid,Spain,,,,,,59.4
151-200,101-150,Dalhousie University,Canada,,,,,,44
151-200,151-200,Florida State University,United States,,,,,,54.3
151-200,,Fudan University,China (Mainland),,,,,,39.9
151-200,151-200,Indian Institute of Technology Bombay (IITB),India,,,,,,45.2
151-200,101-150,James Cook University,Australia,,,,,,55.6
151-200,151-200,Kyushu University,Japan,,,,,,54.9
151-200,151-200,Lancaster University,United Kingdom,,,,,,51.2
151-200,101-150,Lomonosov Moscow State University,Russia,,,,,,65.6
151-200,,Nanjing University of Information Science and Technology,China (Mainland),,,,,,59.1
151-200,101-150,Sapienza University of Rome,Italy,,,,,,62.6
151-200,201-230,Shanghai Jiao Tong University,China (Mainland),,,,,,52.6
151-200,151-200,Technische Universität Berlin (TU Berlin),Germany,,,,,,51.7
151-200,151-200,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,,,,,,34.2
151-200,201-230,The Hong Kong Polytechnic University,Hong Kong SAR,,,,,,38.4
151-200,201-230,Tongji University,China (Mainland),,,,,,46
151-200,151-200,"Trinity College Dublin, The University of Dublin",Ireland,,,,,,47.1
151-200,151-200,Universidad de Buenos Aires (UBA),Argentina,,,,,,45.7
151-200,151-200,Universidad de Concepción,Chile,,,,,,63.7
151-200,101-150,Universitat Autònoma de Barcelona,Spain,,,,,,62.4
151-200,151-200,Université Claude Bernard Lyon 1,France,,,,,,62.2
151-200,,Université Côte d\'Azur,France,,,,,,70.6
151-200,201-230,Université de Liège,Belgium,,,,,,65.4
151-200,151-200,Université de Strasbourg,France,,,,,,63.4
151-200,151-200,University College Dublin,Ireland,,,,,,52.3
151-200,151-200,University of Bordeaux,France,,,,,,58.4
151-200,151-200,"University of California, Riverside",United States,,,,,,49.4
151-200,151-200,University of Canterbury | Te Whare Wānanga o Waitaha,New Zealand,,,,,,50.7
151-200,151-200,University of Florence,Italy,,,,,,66.1
151-200,201-230,University of Glasgow,United Kingdom,,,,,,55.1
151-200,,University of Gothenburg,Sweden,,,,,,51.1
151-200,151-200,University of Granada,Spain,,,,,,61.9
151-200,151-200,University of Groningen,Netherlands,,,,,,62.7
151-200,201-230,University of Lisbon ,Portugal,,,,,,67.5
