2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
50,37  ,Fudan University,China (Mainland),,,,,,71.7
51-100,51-90,Aarhus University,Denmark,,,,,,
51-100,51-90,Aix-Marseille University,France,,,,,,
51-100,49=,Albert-Ludwigs-Universitaet Freiburg,Germany,,,,,,
51-100,51-90,Beijing Normal University ,China (Mainland),,,,,,
51-100,51-90,Columbia University,United States,,,,,,
51-100,,Cornell University,United States,,,,,,
51-100,,Dartmouth College,United States,,,,,,
51-100,,Keio University,Japan,,,,,,
51-100,49=,Macquarie University,Australia,,,,,,
51-100,51-90,Meiji University,Japan,,,,,,
51-100,51-90,Monash University,Australia,,,,,,
51-100,51-90,National and Kapodistrian University of Athens,Greece,,,,,,
51-100,51-90,National Chung Cheng University,Taiwan,,,,,,
51-100,51-90,New York University (NYU),United States,,,,,,
51-100,,Newcastle University,United Kingdom,,,,,,
51-100,,Osaka University,Japan,,,,,,
51-100,,Rheinische Friedrich-Wilhelms-Universität Bonn,Germany,,,,,,
51-100,,Ritsumeikan University,Japan,,,,,,
51-100,,Royal Holloway University of London,United Kingdom,,,,,,
51-100,51-90,SOAS University of London ,United Kingdom,,,,,,
51-100,51-90,Swansea University,United Kingdom,,,,,,
51-100,,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,,,,,,
51-100,51-90,The Hebrew University of Jerusalem,Israel,,,,,,
51-100,51-90,The University of Adelaide,Australia,,,,,,
51-100,51-90,The University of Manchester,United Kingdom,,,,,,
51-100,,The University of Melbourne,Australia,,,,,,
51-100,51-90,The University of Queensland,Australia,,,,,,
51-100,,The University of Western Australia,Australia,,,,,,
51-100,51-90,"Trinity College Dublin, The University of Dublin",Ireland,,,,,,
51-100,51-90,"Universita' degli Studi di Napoli ""L'Orientale""",Italy,,,,,,
51-100,,Universität Hamburg,Germany,,,,,,
51-100,51-90,Université de Fribourg,Switzerland,,,,,,
51-100,51-90,Université de Strasbourg,France,,,,,,
51-100,,University of Bari,Italy,,,,,,
51-100,46  ,University of Basel,Switzerland,,,,,,
51-100,51-90,University of Bristol,United Kingdom,,,,,,
51-100,51-90,"University of California, Los Angeles (UCLA)",United States,,,,,,
51-100,51-90,University of Chicago,United States,,,,,,
51-100,51-90,University of Göttingen,Germany,,,,,,
51-100,,University of Lausanne,Switzerland,,,,,,
51-100,51-90,University of Liverpool,United Kingdom,,,,,,
51-100,51-90,University of Michigan-Ann Arbor,United States,,,,,,
51-100,51-90,University of Milan,Italy,,,,,,
51-100,40  ,"University of North Carolina, Chapel Hill",United States,,,,,,
51-100,51-90,University of Pennsylvania,United States,,,,,,
51-100,51-90,University of Texas at Austin,United States,,,,,,
51-100,41  ,University of Toronto,Canada,,,,,,
51-100,51-90,Utrecht University,Netherlands,,,,,,
51-100,51-90,Waseda University,Japan,,,,,,
51-100,51-90,Westfälische Wilhelms-Universität Münster ,Germany,,,,,,
