2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
101-150,101-150,University of Bristol,United Kingdom,,,,,,76.8
101-150,151-200,University of Florida,United States,,,,,,73.2
101-150,101-150,University of Glasgow,United Kingdom,,,,,,78.2
101-150,101-150,University of Leeds,United Kingdom,,,,,,75
101-150,101-150,"University of Maryland, College Park",United States,,,,,,67.5
101-150,101-150,University of Minnesota Twin Cities,United States,,,,,,60
101-150,101-150,University of Nottingham,United Kingdom,,,,,,81
101-150,151-200,University of Technology Sydney,Australia,,,,,,66
101-150,,University of Twente,Netherlands,,,,,,69.6
101-150,101-150,University of Washington,United States,,,,,,59.2
101-150,100=,University of Wisconsin-Madison,United States,,,,,,65.2
101-150,101-150,University of Wollongong,Australia,,,,,,72.7
101-150,101-150,Wuhan University,China (Mainland),,,,,,60.2
101-150,79  ,Xi’an Jiaotong University,China (Mainland),,,,,,66.2
101-150,98  ,Yale University,United States,,,,,,43.8
151-200,,Aarhus University,Denmark,,,,,,68
151-200,151-200,Alma Mater Studiorum - University of Bologna,Italy,,,,,,60
151-200,151-200,Arizona State University,United States,,,,,,73.8
151-200,101-150,Central South University,China (Mainland),,,,,,69.5
151-200,101-150,Colorado School of Mines,United States,,,,,,44.7
151-200,201-250,Cranfield University,United Kingdom,,,,,,73.9
151-200,201-250,Curtin University,Australia,,,,,,66
151-200,151-200,Duke University,United States,,,,,,50.6
151-200,151-200,Hokkaido University,Japan,,,,,,55.2
151-200,151-200,Istanbul Technical University,Turkey,,,,,,76.3
151-200,101-150,Jilin University,China (Mainland),,,,,,54.2
151-200,151-200,King's College London,United Kingdom,,,,,,71.9
151-200,101-150,Lomonosov Moscow State University,Russia,,,,,,74.8
151-200,151-200,Loughborough University,United Kingdom,,,,,,64.8
151-200,201-250,Lulea University,Sweden,,,,,,75.1
151-200,101-150,McMaster University,Canada,,,,,,43.4
151-200,151-200,Nagoya University,Japan,,,,,,62
151-200,251-300,Nankai University,China (Mainland),,,,,,51.5
151-200,151-200,Queen Mary University of London,United Kingdom,,,,,,66.6
151-200,151-200,Shanghai University,China (Mainland),,,,,,64.3
151-200,201-250,Sichuan University,China (Mainland),,,,,,50.8
151-200,151-200,Sun Yat-sen University,China (Mainland),,,,,,63
151-200,101-150,Technion - Israel Institute of Technology,Israel,,,,,,54.6
151-200,91  ,The National University of Science and Technology MISIS,Russia,,,,,,87.7
151-200,151-200,The University of Auckland,New Zealand,,,,,,57.2
151-200,151-200,The University of Warwick,United Kingdom,,,,,,65
151-200,151-200,Tongji University,China (Mainland),,,,,,65
151-200,151-200,Universidad Politécnica de Madrid (UPM),Spain,,,,,,69.7
151-200,101-150,Universidade Estadual de Campinas (Unicamp),Brazil,,,,,,65.5
151-200,151-200,Universitat Autònoma de Barcelona,Spain,,,,,,67.8
151-200,151-200,Universitat Politècnica de València,Spain,,,,,,79.8
151-200,101-150,Universität Stuttgart,Germany,,,,,,72.8
151-200,151-200,Université catholique de Louvain (UCLouvain),Belgium,,,,,,65
151-200,,Université de Lille,France,,,,,,88.1
151-200,201-250,Université de Montpellier,France,,,,,,76.5
151-200,201-250,Universiti Putra Malaysia (UPM),Malaysia,,,,,,73.9
151-200,151-200,Universiti Teknologi Malaysia ,Malaysia,,,,,,76.9
151-200,151-200,University of Aveiro,Portugal,,,,,,90.7
151-200,151-200,University of Delaware,United States,,,,,,64.7
151-200,151-200,University of Groningen,Netherlands,,,,,,61.4
151-200,151-200,University of Liverpool,United Kingdom,,,,,,72.8
151-200,151-200,University of Massachusetts Amherst,United States,,,,,,53.1
151-200,151-200,University of Porto,Portugal,,,,,,75.4
151-200,101-150,University of Southampton,United Kingdom,,,,,,89.8
151-200,151-200,Virginia Polytechnic Institute and State University,United States,,,,,,63
