2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
151-200,101-150,Lomonosov Moscow State University,Russia,,,,,,67.3
151-200,101-150,National Taiwan University (NTU),Taiwan,,,,,,46.7
151-200,151-200,Norwegian University of Science And Technology,Norway,,,,,,56.8
151-200,101-150,Sapienza University of Rome,Italy,,,,,,65.7
151-200,151-200,Shanghai Jiao Tong University,China (Mainland),,,,,,59.3
151-200,151-200,Technische Universität Berlin (TU Berlin),Germany,,,,,,56
151-200,151-200,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,,,,,,36.9
151-200,201-230,The Hong Kong Polytechnic University,Hong Kong SAR,,,,,,43.4
151-200,151-200,The University of Sheffield,United Kingdom,,,,,,56.8
151-200,201-230,Tongji University,China (Mainland),,,,,,49.7
151-200,201-230,"Trinity College Dublin, The University of Dublin",Ireland,,,,,,52.8
151-200,151-200,Universidad de Buenos Aires (UBA),Argentina,,,,,,46.4
151-200,101-150,Universidad de Concepción,Chile,,,,,,62.5
151-200,101-150,Universitat Autònoma de Barcelona,Spain,,,,,,64.3
151-200,151-200,Université Claude Bernard Lyon 1,France,,,,,,68.4
151-200,,Université Côte d\'Azur,France,,,,,,75.3
151-200,201-230,Université de Liège,Belgium,,,,,,68.6
151-200,151-200,Université de Strasbourg,France,,,,,,71.3
151-200,151-200,University College Dublin,Ireland,,,,,,54.8
151-200,151-200,University of Aberdeen,United Kingdom,,,,,,53.8
151-200,151-200,University of Bordeaux,France,,,,,,61.3
151-200,101-150,"University of California, Riverside",United States,,,,,,51.6
151-200,151-200,University of Canterbury | Te Whare Wānanga o Waitaha,New Zealand,,,,,,53.9
151-200,151-200,University of Florence,Italy,,,,,,63.6
151-200,201-230,University of Glasgow,United Kingdom,,,,,,49.6
151-200,151-200,University of Granada,Spain,,,,,,62
151-200,151-200,University of Groningen,Netherlands,,,,,,65.4
151-200,201-230,University of Lisbon ,Portugal,,,,,,78.2
151-200,151-200,University of Naples - Federico II,Italy,,,,,,70
151-200,151-200,"University of North Carolina, Chapel Hill",United States,,,,,,61.5
151-200,151-200,University of Nottingham,United Kingdom,,,,,,55.3
151-200,151-200,University of Pennsylvania,United States,,,,,,44.3
151-200,101-150,University of Plymouth,United Kingdom,,,,,,43.9
151-200,151-200,University of Utah,United States,,,,,,59
151-200,101-150,University of Victoria (UVic),Canada,,,,,,56.5
151-200,151-200,University of Virginia,United States,,,,,,60
151-200,151-200,University of Waterloo,Canada,,,,,,49.1
151-200,151-200,University of Wollongong,Australia,,,,,,54
151-200,151-200,Victoria University of Wellington,New Zealand,,,,,,48.2
151-200,101-150,Yonsei University,South Korea,,,,,,49.5
201-240,,Aberystwyth University,United Kingdom,,,,,,49
201-240,201-230,Albert-Ludwigs-Universitaet Freiburg,Germany,,,,,,53.7
201-240,151-200,Boston University,United States,,,,,,57.2
201-240,,Charles University,Czech Republic,,,,,,59.2
201-240,201-230,Eötvös Loránd University,Hungary,,,,,,53.9
201-240,201-230,Friedrich-Alexander-Universität Erlangen-Nürnberg,Germany,,,,,,67.5
201-240,201-230,George Mason University,United States,,,,,,60
201-240,151-200,Indian Institute of Science,India,,,,,,37.8
201-240,,Indian Institute of Technology Kharagpur (IIT-KGP),India,,,,,,37.9
201-240,,Istanbul Technical University,Turkey,,,,,,53.4
201-240,201-230,Kyushu University,Japan,,,,,,50.5
201-240,,National Central University,Taiwan,,,,,,62.1
201-240,201-230,National Technical University of Athens,Greece,,,,,,46.3
201-240,151-200,Ocean University of China,China (Mainland),,,,,,41.4
201-240,151-200,Queen's University at Kingston,Canada,,,,,,44
201-240,151-200,Rice University,United States,,,,,,44.1
201-240,201-230,Rutgers University–New Brunswick,United States,,,,,,51.5
201-240,151-200,RWTH Aachen University,Germany,,,,,,61.3
